,d2o 015 By Administrator Date Monday. December 13 2021,
Time,14:16:54,
Wavenumbers [1/cm],Transmittance %,
6021.000,10.9829,
6020.000,11.072,
6019.000,11.1641,
6018.000,11.2595,
6017.000,11.3559,
6016.000,11.452,
6015.000,11.5483,
6014.000,11.6457,
6013.000,11.7435,
6012.000,11.8404,
6011.000,11.9362,
6010.000,12.0323,
6009.000,12.1303,
6008.000,12.2311,
6007.000,12.3336,
6006.000,12.4359,
6005.000,12.5375,
6004.000,12.6392,
6003.000,12.7422,
6002.000,12.8477,
6001.000,12.957,
6000.000,13.071,
5999.000,13.1878,
5998.000,13.3041,
5997.000,13.4186,
5996.000,13.5333,
5995.000,13.6506,
5994.000,13.771,
5993.000,13.8945,
5992.000,14.0209,
5991.000,14.1484,
5990.000,14.274,
5989.000,14.3968,
5988.000,14.518,
5987.000,14.6391,
5986.000,14.7615,
5985.000,14.8878,
5984.000,15.0198,
5983.000,15.1543,
5982.000,15.2859,
5981.000,15.4141,
5980.000,15.5428,
5979.000,15.6732,
5978.000,15.8029,
5977.000,15.931,
5976.000,16.0617,
5975.000,16.1975,
5974.000,16.3355,
5973.000,16.4729,
5972.000,16.6107,
5971.000,16.7498,
5970.000,16.8884,
5969.000,17.0243,
5968.000,17.158,
5967.000,17.2898,
5966.000,17.419,
5965.000,17.5465,
5964.000,17.6754,
5963.000,17.8065,
5962.000,17.9367,
5961.000,18.0652,
5960.000,18.196,
5959.000,18.3311,
5958.000,18.467,
5957.000,18.5999,
5956.000,18.7308,
5955.000,18.8608,
5954.000,18.9876,
5953.000,19.1088,
5952.000,19.2258,
5951.000,19.3409,
5950.000,19.4538,
5949.000,19.5651,
5948.000,19.6771,
5947.000,19.79,
5946.000,19.8998,
5945.000,20.0042,
5944.000,20.1057,
5943.000,20.2069,
5942.000,20.3065,
5941.000,20.4029,
5940.000,20.4962,
5939.000,20.5856,
5938.000,20.6684,
5937.000,20.7438,
5936.000,20.8146,
5935.000,20.8828,
5934.000,20.9476,
5933.000,21.0093,
5932.000,21.0703,
5931.000,21.1294,
5930.000,21.1819,
5929.000,21.2266,
5928.000,21.2677,
5927.000,21.3076,
5926.000,21.3433,
5925.000,21.3717,
5924.000,21.3939,
5923.000,21.4106,
5922.000,21.4209,
5921.000,21.4267,
5920.000,21.4327,
5919.000,21.4392,
5918.000,21.4409,
5917.000,21.4349,
5916.000,21.4238,
5915.000,21.4089,
5914.000,21.3869,
5913.000,21.3568,
5912.000,21.3234,
5911.000,21.2907,
5910.000,21.2562,
5909.000,21.2161,
5908.000,21.1705,
5907.000,21.1205,
5906.000,21.0661,
5905.000,21.0082,
5904.000,20.9489,
5903.000,20.8864,
5902.000,20.816,
5901.000,20.7378,
5900.000,20.657,
5899.000,20.5766,
5898.000,20.4935,
5897.000,20.4053,
5896.000,20.3139,
5895.000,20.2196,
5894.000,20.1194,
5893.000,20.0126,
5892.000,19.9038,
5891.000,19.7962,
5890.000,19.6888,
5889.000,19.5814,
5888.000,19.4768,
5887.000,19.3737,
5886.000,19.2657,
5885.000,19.1497,
5884.000,19.0298,
5883.000,18.9084,
5882.000,18.7825,
5881.000,18.6504,
5880.000,18.5177,
5879.000,18.3903,
5878.000,18.2668,
5877.000,18.1434,
5876.000,18.0199,
5875.000,17.8976,
5874.000,17.7743,
5873.000,17.6468,
5872.000,17.5153,
5871.000,17.3816,
5870.000,17.2462,
5869.000,17.1099,
5868.000,16.9754,
5867.000,16.8439,
5866.000,16.7132,
5865.000,16.5818,
5864.000,16.4513,
5863.000,16.3226,
5862.000,16.1935,
5861.000,16.0628,
5860.000,15.9325,
5859.000,15.8036,
5858.000,15.6734,
5857.000,15.54,
5856.000,15.4061,
5855.000,15.2754,
5854.000,15.1481,
