,d2o 166 By Administrator Date Wednesday. December 15 2021,
Time,16:38:58,
Wavenumbers [1/cm],Transmittance %,
6165.000,7.03785,
6164.000,6.99879,
6163.000,6.95875,
6162.000,6.91636,
6161.000,6.87158,
6160.000,6.82466,
6159.000,6.77573,
6158.000,6.72571,
6157.000,6.6766,
6156.000,6.62965,
6155.000,6.58385,
6154.000,6.53766,
6153.000,6.49148,
6152.000,6.44664,
6151.000,6.40247,
6150.000,6.35705,
6149.000,6.31065,
6148.000,6.26538,
6147.000,6.22119,
6146.000,6.17559,
6145.000,6.12835,
6144.000,6.08314,
6143.000,6.04251,
6142.000,6.00445,
6141.000,5.9659,
6140.000,5.92672,
6139.000,5.88748,
6138.000,5.84633,
6137.000,5.80179,
6136.000,5.75661,
6135.000,5.71491,
6134.000,5.67636,
6133.000,5.63721,
6132.000,5.59618,
6131.000,5.55528,
6130.000,5.51479,
6129.000,5.47182,
6128.000,5.42517,
6127.000,5.37834,
6126.000,5.33581,
6125.000,5.2983,
6124.000,5.26334,
6123.000,5.22876,
6122.000,5.19371,
6121.000,5.15772,
6120.000,5.12045,
6119.000,5.08231,
6118.000,5.04411,
6117.000,5.00611,
6116.000,4.96786,
6115.000,4.92875,
6114.000,4.88845,
6113.000,4.84736,
6112.000,4.80682,
6111.000,4.76853,
6110.000,4.73345,
6109.000,4.70133,
6108.000,4.67094,
6107.000,4.64047,
6106.000,4.60831,
6105.000,4.57426,
6104.000,4.53969,
6103.000,4.50563,
6102.000,4.47123,
6101.000,4.43507,
6100.000,4.39756,
6099.000,4.36059,
6098.000,4.32515,
6097.000,4.29075,
6096.000,4.25715,
6095.000,4.22498,
6094.000,4.19404,
6093.000,4.16264,
6092.000,4.1294,
6091.000,4.09475,
6090.000,4.05986,
6089.000,4.02508,
6088.000,3.99012,
6087.000,3.95505,
6086.000,3.92024,
6085.000,3.8861,
6084.000,3.85342,
6083.000,3.82333,
6082.000,3.79585,
6081.000,3.76904,
6080.000,3.74068,
6079.000,3.71042,
6078.000,3.67939,
6077.000,3.64822,
6076.000,3.61693,
6075.000,3.5865,
6074.000,3.5589,
6073.000,3.53476,
6072.000,3.51202,
6071.000,3.48795,
6070.000,3.46172,
6069.000,3.43434,
6068.000,3.40668,
6067.000,3.37848,
6066.000,3.34949,
6065.000,3.32084,
6064.000,3.29451,
6063.000,3.27144,
6062.000,3.25021,
6061.000,3.22791,
6060.000,3.20261,
6059.000,3.17492,
6058.000,3.14695,
6057.000,3.12012,
6056.000,3.09459,
6055.000,3.0707,
6054.000,3.04945,
6053.000,3.03096,
6052.000,3.01309,
6051.000,2.99316,
6050.000,2.97074,
6049.000,2.94771,
6048.000,2.92565,
6047.000,2.90425,
6046.000,2.88272,
6045.000,2.86127,
6044.000,2.84066,
6043.000,2.82127,
6042.000,2.80329,
6041.000,2.78701,
6040.000,2.77173,
6039.000,2.75513,
6038.000,2.73515,
6037.000,2.71225,
6036.000,2.68863,
6035.000,2.66562,
6034.000,2.64357,
6033.000,2.62407,
6032.000,2.6099,
6031.000,2.60166,
6030.000,2.59619,
6029.000,2.58959,
6028.000,2.58059,
6027.000,2.56981,
6026.000,2.55721,
6025.000,2.54226,
6024.000,2.52578,
6023.000,2.50951,
6022.000,2.49385,
