,50_hexanon_in_hexane,60_hexanon_in_hexane,60_hexanon_in_hexane,70_hexanon_in_hexane,70_hexanon_in_hexane,80_hexanon_in_hexane,80_hexanon_in_hexane,90_hexanon_in_hexane,90_hexanon_in_hexane,100_hexanon_in_hexane,100_hexanon_in_hexane,20_hexanon_in_hexane,20_hexanon_in_hexane,30_hexanon_in_hexane,30_hexanon_in_hexane,40_hexanon_in_hexane,40_hexanon_in_hexane,50_hexanon_in_hexane,10_hexanon_in_hexane,10_hexanon_in_hexane,
Wavenumbers [1/cm],Transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,
6792.983,0.0611789,0.1058398,0.06555147,0.07353965,0.105741,0.1011772,0.07931117,0.1053577,0.1004664,0.09509422,0.1241664,0.09887453,0.1043309,0.07552426,0.1075291,0.1087328,0.06376787,0.1092114,0.1042339,0.1208521,
6789.126,0.06099303,0.1067252,0.06338021,0.06928762,0.1065337,0.1023783,0.07397379,0.09657869,0.1016203,0.09633559,0.1145259,0.1071111,0.1031895,0.08053704,0.1066425,0.1089022,0.06554714,0.1099498,0.1029909,0.1299262,
6785.268,0.06180452,0.1073219,0.06201229,0.06593994,0.1069821,0.1035216,0.06963434,0.08863588,0.1027992,0.09754498,0.1052192,0.1158711,0.1020962,0.08643988,0.1055211,0.1089569,0.06807223,0.1105136,0.1017502,0.1385219,
6781.411,0.06359945,0.1079373,0.06152113,0.06357677,0.1072906,0.104665,0.06624082,0.08160585,0.1038247,0.09872798,0.0964781,0.1249104,0.1010824,0.09331997,0.104339,0.1087427,0.07145904,0.1108617,0.1006541,0.1461736,
6777.553,0.06624265,0.1085591,0.06193659,0.0621981,0.1076134,0.105655,0.0638496,0.07565717,0.1045883,0.09984723,0.08851065,0.133915,0.1001763,0.1011054,0.1031612,0.1082363,0.07586963,0.110975,0.09977482,0.1524267,
6773.696,0.0697182,0.1089406,0.06319196,0.06166775,0.1077621,0.1063469,0.06245634,0.07087202,0.1051862,0.1008902,0.08151552,0.1423309,0.09946881,0.109619,0.1020048,0.1075324,0.08132439,0.1108893,0.09926968,0.156684,
6769.838,0.07408284,0.1089986,0.06524441,0.06197524,0.1075338,0.1068355,0.06191187,0.06713154,0.1056596,0.1018467,0.07560438,0.1493796,0.09903627,0.1185681,0.1009572,0.1066447,0.0877075,0.1104492,0.09925859,0.1580758,
6765.981,0.07947041,0.1089128,0.06811357,0.06317417,0.107086,0.1072342,0.06208017,0.06429106,0.1060183,0.102605,0.07072728,0.1543129,0.09895524,0.1275946,0.1000002,0.1055406,0.09502052,0.1095781,0.09965939,0.1561949,
6762.123,0.08600036,0.1087587,0.07193198,0.06526277,0.1065822,0.1075242,0.06300531,0.06227345,0.1063518,0.1031897,0.06686725,0.1567031,0.09928521,0.1364201,0.099167,0.1042091,0.1032944,0.1084678,0.1003351,0.1516041,
6758.266,0.09365714,0.1083181,0.07682615,0.06823383,0.1059311,0.1075531,0.06483525,0.06108129,0.1065919,0.1037946,0.06401614,0.1563725,0.1000225,0.1444753,0.09869692,0.10274,0.1123003,0.1072355,0.1012019,0.145004,
6754.409,0.1023353,0.107433,0.08271381,0.07213809,0.1050551,0.1072415,0.06769834,0.06080735,0.1065327,0.1044825,0.06203829,0.1532523,0.1010883,0.1508854,0.09864125,0.1013442,0.1216337,0.1058075,0.1022224,0.1368065,
6750.551,0.1118254,0.1061948,0.08947118,0.07705688,0.1039852,0.1067098,0.07166909,0.06151682,0.1062298,0.1050493,0.06085391,0.1475324,0.102296,0.1550437,0.09882517,0.1000974,0.1308525,0.1041428,0.1034412,0.1276227,
6746.694,0.1217812,0.1048219,0.09717186,0.08302468,0.1027673,0.1060926,0.07665403,0.06317467,0.1058307,0.1052863,0.06051148,0.139858,0.1034891,0.1565473,0.09931286,0.09896144,0.1396025,0.1023185,0.1048347,0.11822,
6742.836,0.1318254,0.1034405,0.1058542,0.08990139,0.1013921,0.1053743,0.08239347,0.06572586,0.1052194,0.1051625,0.06111515,0.1310189,0.1046988,0.1550969,0.1001664,0.09802888,0.1474292,0.1003249,0.1062135,0.1091077,
6738.979,0.1415056,0.1019681,0.1152367,0.09749747,0.09989031,0.1044786,0.08883873,0.06907318,0.1043364,0.1047662,0.06277657,0.1216151,0.1059513,0.1507855,0.101143,0.09735774,0.1534084,0.09817977,0.1074158,0.1006318,
6735.121,0.1499831,0.1003518,0.1248943,0.1058578,0.09842354,0.1033795,0.09621677,0.07316513,0.1033061,0.104376,0.06544895,0.1122564,0.1071222,0.1441317,0.1022219,0.09692468,0.1565671,0.09613367,0.1084531,0.09310965,
6731.264,0.1562192,0.0986613,0.1344059,0.1149511,0.09709423,0.1020756,0.1045615,0.07813909,0.102103,0.1041193,0.06893293,0.1034487,0.1081747,0.1358207,0.1035561,0.09678697,0.1565929,0.09433252,0.1094523,0.08664533,
6727.406,0.1595719,0.09690104,0.1431938,0.1243867,0.09591861,0.1006465,0.1136021,0.08412255,0.100697,0.10364,0.07313716,0.09537371,0.1092402,0.126516,0.1049116,0.09702491,0.1537093,0.09276468,0.1104811,0.0811721,
6723.549,0.1597736,0.09515069,0.1505126,0.1337251,0.09496473,0.09918525,0.1229669,0.09109671,0.09925181,0.102717,0.07816605,0.08820871,0.1103029,0.1169075,0.1060782,0.09768929,0.1482287,0.09152855,0.1114782,0.07668849,
6719.691,0.1567342,0.09367029,0.1556421,0.1424605,0.09425677,0.09766987,0.1322549,0.0989555,0.09789963,0.1015305,0.08408268,0.08224521,0.1111726,0.1076846,0.1072435,0.0987362,0.140665,0.0907642,0.1123427,0.07328571,
6715.834,0.1508027,0.09262953,0.1579822,0.1498548,0.09377655,0.09613398,0.1409813,0.1075054,0.09657947,0.1002578,0.09087343,0.07753754,0.1118128,0.09928949,0.1084388,0.0999886,0.1318168,0.0906119,0.1129684,0.07096719,
6711.977,0.1427615,0.09206976,0.1571786,0.1551961,0.09363288,0.09478306,0.148493,0.1164856,0.09518346,0.09901043,0.09858111,0.07385096,0.1123512,0.09176701,0.1094233,0.1012727,0.1223838,0.09114692,0.1132742,0.0696193,
6708.119,0.1333691,0.09206574,0.153372,0.1578619,0.09401238,0.09380788,0.154024,0.1256442,0.09386627,0.09782065,0.1070808,0.07107741,0.11283,0.08511051,0.1101641,0.1025656,0.1128459,0.09221921,0.1133171,0.06925537,
6704.262,0.1232589,0.09263491,0.1470043,0.1573412,0.09493394,0.0931987,0.1568698,0.1347186,0.09289607,0.09658057,0.1161064,0.06925888,0.1131033,0.07955328,0.1108239,0.1039454,0.1037128,0.09360802,0.1132336,0.0699098,
6700.404,0.1131148,0.09359321,0.1385572,0.153596,0.09614277,0.09291577,0.1566199,0.143141,0.09239001,0.0952218,0.1253971,0.06839318,0.1130348,0.07518335,0.1114628,0.1054066,0.09544317,0.09526227,0.1130583,0.07141814,
6696.547,0.1035281,0.09477027,0.128822,0.1471356,0.09739883,0.09310277,0.1533145,0.1499628,0.09244391,0.09391788,0.1344793,0.0685723,0.1127183,0.07179081,0.112026,0.1068462,0.08814954,0.09718634,0.1127877,0.07364894,
6692.689,0.09485516,0.09616705,0.1187335,0.1387492,0.09868123,0.09379566,0.1473452,0.1542772,0.0929795,0.09288005,0.1426384,0.06981672,0.112326,0.06927916,0.112407,0.1081582,0.0818072,0.09920377,0.1123406,0.07655431,
6688.832,0.08720813,0.09776776,0.1089481,0.1292695,0.09997526,0.09476528,0.1392969,0.1556167,0.09371947,0.09216909,0.1491334,0.07188112,0.111863,0.06777538,0.1124679,0.1092927,0.07658224,0.1011726,0.1115263,0.08010089,
6684.974,0.08056306,0.09944732,0.09983426,0.1193817,0.1012601,0.09584033,0.1299087,0.1539661,0.09461191,0.09184156,0.1534137,0.07457388,0.1111616,0.06734528,0.1122406,0.1102339,0.07258209,0.1031704,0.1104315,0.08432343,
6681.117,0.07504293,0.1010887,0.09154949,0.1096027,0.1025518,0.09698369,0.1199592,0.1494745,0.09571879,0.09187111,0.1549783,0.07790323,0.1101027,0.06790058,0.1119021,0.1109684,0.06962728,0.1051724,0.1093225,0.08914209,
6677.259,0.07070325,0.1027217,0.08427693,0.1003444,0.103807,0.09821628,0.1101307,0.1424968,0.09691226,0.09217484,0.1533522,0.08178051,0.1087465,0.06932744,0.1114141,0.1115076,0.06756803,0.1069696,0.1081065,0.094395,
6673.402,0.06734764,0.1043747,0.0781707,0.09193654,0.1050312,0.09956565,0.100957,0.1337605,0.09813593,0.09279144,0.1486072,0.08611527,0.1072248,0.07154791,0.1107044,0.1117764,0.06652052,0.1084364,0.1065252,0.1001826,
6669.544,0.06492621,0.1059255,0.07317941,0.08461933,0.1062013,0.100933,0.0926483,0.1240729,0.0994588,0.09379168,0.1413814,0.09115298,0.1056093,0.07452459,0.1098941,0.1117184,0.0665437,0.1096484,0.1046777,0.1067927,
6665.687,0.06349405,0.1072516,0.06927727,0.07850146,0.1072697,0.102253,0.08522825,0.1141677,0.1008402,0.09507686,0.1325041,0.09707858,0.1038814,0.07824574,0.1089325,0.1115702,0.06745262,0.1107374,0.1028478,0.1143429,
6661.830,0.06295918,0.1083002,0.06642221,0.07355773,0.1082399,0.103588,0.07886427,0.1046267,0.1022176,0.09635716,0.1228013,0.103745,0.1020286,0.08269401,0.1076451,0.1115223,0.06911669,0.1116826,0.1010178,0.1226751,
6657.972,0.06326718,0.1091507,0.06447822,0.06967866,0.1089506,0.1049196,0.0736806,0.09576969,0.1035285,0.09753119,0.1129462,0.1110225,0.1000583,0.08777799,0.1061036,0.1113774,0.07154212,0.1123997,0.09901136,0.1313677,
6654.115,0.06445035,0.1099104,0.06340508,0.06672788,0.1093396,0.106105,0.0695965,0.08784745,0.1046965,0.09873228,0.1034182,0.1188344,0.0980019,0.09339115,0.1044766,0.110896,0.07474286,0.1128722,0.0968956,0.1399026,
6650.257,0.06645826,0.1105134,0.06320756,0.06464677,0.1095863,0.107059,0.06653713,0.08100341,0.1057589,0.09998339,0.09455975,0.1271151,0.0959999,0.09958828,0.1027646,0.1100739,0.07871085,0.113107,0.09490193,0.1478528,
6646.400,0.06920657,0.1108529,0.06386079,0.06349088,0.1097287,0.1078307,0.06447056,0.07521255,0.1067117,0.1011994,0.08665053,0.135731,0.09418684,0.1064612,0.1008654,0.1090148,0.08333301,0.1130602,0.09317804,0.1545908,
6642.542,0.0727376,0.1108785,0.06537077,0.06328177,0.1096872,0.1084203,0.06328317,0.07048548,0.1074296,0.1023269,0.07984759,0.1441233,0.09260339,0.1139853,0.0987936,0.1077764,0.08851147,0.1126739,0.09180262,0.159244,
6638.685,0.07714586,0.1106575,0.0677333,0.06396095,0.1094137,0.1088351,0.06289286,0.06683592,0.1078982,0.1033697,0.07416692,0.1514343,0.09128968,0.1220959,0.09675574,0.1063634,0.09435399,0.1119792,0.09088951,0.1612197,
