,cavity_before,
Wavenumbers [1/cm],Transmittance %,
6222.000,8.55,
6221.000,8.42,
6220.000,8.29,
6219.000,8.17,
6218.000,8.06,
6217.000,7.95,
6216.000,7.84,
6215.000,7.74,
6214.000,7.64,
6213.000,7.53,
6212.000,7.43,
6211.000,7.32,
6210.000,7.23,
6209.000,7.14,
6208.000,7.06,
6207.000,6.98,
6206.000,6.91,
6205.000,6.85,
6204.000,6.78,
6203.000,6.72,
6202.000,6.66,
6201.000,6.6,
6200.000,6.54,
6199.000,6.49,
6198.000,6.44,
6197.000,6.4,
6196.000,6.35,
6195.000,6.31,
6194.000,6.27,
6193.000,6.23,
6192.000,6.19,
6191.000,6.16,
6190.000,6.13,
6189.000,6.1,
6188.000,6.08,
6187.000,6.06,
6186.000,6.04,
6185.000,6.02,
6184.000,6,
6183.000,5.99,
6182.000,5.98,
6181.000,5.97,
6180.000,5.97,
6179.000,5.97,
6178.000,5.98,
6177.000,5.98,
6176.000,5.98,
6175.000,5.98,
6174.000,5.98,
6173.000,5.99,
6172.000,6.01,
6171.000,6.03,
6170.000,6.04,
6169.000,6.06,
6168.000,6.08,
6167.000,6.1,
6166.000,6.13,
6165.000,6.16,
6164.000,6.19,
6163.000,6.23,
6162.000,6.27,
6161.000,6.31,
6160.000,6.35,
6159.000,6.39,
6158.000,6.43,
6157.000,6.49,
6156.000,6.54,
6155.000,6.59,
6154.000,6.65,
6153.000,6.7,
6152.000,6.75,
6151.000,6.81,
6150.000,6.87,
6149.000,6.93,
6148.000,6.99,
6147.000,7.06,
6146.000,7.12,
6145.000,7.19,
6144.000,7.25,
6143.000,7.32,
6142.000,7.39,
6141.000,7.46,
6140.000,7.54,
6139.000,7.62,
6138.000,7.69,
6137.000,7.77,
6136.000,7.84,
6135.000,7.92,
6134.000,8,
6133.000,8.07,
6132.000,8.15,
6131.000,8.23,
6130.000,8.32,
6129.000,8.42,
6128.000,8.51,
6127.000,8.62,
6126.000,8.72,
6125.000,8.83,
6124.000,8.94,
6123.000,9.05,
6122.000,9.17,
6121.000,9.29,
6120.000,9.42,
6119.000,9.56,
6118.000,9.7,
6117.000,9.85,
6116.000,10,
6115.000,10.15,
6114.000,10.31,
6113.000,10.48,
6112.000,10.65,
6111.000,10.84,
6110.000,11.03,
6109.000,11.22,
6108.000,11.41,
6107.000,11.61,
6106.000,11.82,
6105.000,12.03,
6104.000,12.25,
6103.000,12.47,
6102.000,12.7,
6101.000,12.93,
6100.000,13.16,
6099.000,13.4,
6098.000,13.65,
6097.000,13.9,
6096.000,14.16,
6095.000,14.42,
6094.000,14.68,
6093.000,14.93,
6092.000,15.19,
6091.000,15.45,
6090.000,15.71,
6089.000,15.97,
6088.000,16.22,
6087.000,16.47,
6086.000,16.72,
6085.000,16.96,
6084.000,17.21,
6083.000,17.45,
6082.000,17.68,
6081.000,17.91,
6080.000,18.13,
6079.000,18.34,
6078.000,18.54,
6077.000,18.73,
6076.000,18.91,
6075.000,19.08,
6074.000,19.23,
6073.000,19.38,
6072.000,19.51,
6071.000,19.62,
6070.000,19.72,
6069.000,19.81,
6068.000,19.88,
6067.000,19.93,
6066.000,19.96,
6065.000,19.98,
6064.000,19.99,
6063.000,19.98,
6062.000,19.95,
6061.000,19.9,
6060.000,19.84,
6059.000,19.76,
6058.000,19.67,
6057.000,19.56,
6056.000,19.45,
6055.000,19.32,
6054.000,19.17,
6053.000,19.01,
6052.000,18.84,
6051.000,18.65,
6050.000,18.46,
6049.000,18.25,
6048.000,18.04,
6047.000,17.82,
6046.000,17.6,
6045.000,17.36,
6044.000,17.13,
6043.000,16.88,
6042.000,16.64,
6041.000,16.38,
6040.000,16.13,
6039.000,15.87,
6038.000,15.61,
6037.000,15.35,
6036.000,15.09,
6035.000,14.83,
6034.000,14.57,
6033.000,14.31,
6032.000,14.06,
6031.000,13.8,
6030.000,13.55,
6029.000,13.3,
6028.000,13.06,
6027.000,12.82,
6026.000,12.58,
6025.000,12.34,
6024.000,12.11,
6023.000,11.88,
6022.000,11.65,
6021.000,11.43,
6020.000,11.22,
6019.000,11.01,
6018.000,10.81,
6017.000,10.61,
6016.000,10.42,
6015.000,10.23,
6014.000,10.04,
6013.000,9.85,
6012.000,9.67,
6011.000,9.49,
6010.000,9.32,
6009.000,9.15,
6008.000,8.99,
6007.000,8.83,
6006.000,8.68,
6005.000,8.53,
6004.000,8.39,
6003.000,8.25,
6002.000,8.13,
6001.000,8,
6000.000,7.88,
5999.000,7.77,
5998.000,7.65,
5997.000,7.54,
5996.000,7.43,
5995.000,7.32,
5994.000,7.22,
5993.000,7.12,
5992.000,7.03,
5991.000,6.94,
5990.000,6.85,
5989.000,6.77,
5988.000,6.69,
5987.000,6.62,
5986.000,6.55,
5985.000,6.48,
5984.000,6.41,
5983.000,6.34,
5982.000,6.28,
5981.000,6.22,
5980.000,6.16,
5979.000,6.11,
5978.000,6.06,
5977.000,6.01,
5976.000,5.96,
5975.000,5.92,
5974.000,5.88,
5973.000,5.84,
5972.000,5.81,
5971.000,5.78,
5970.000,5.74,
5969.000,5.71,
5968.000,5.68,
5967.000,5.66,
5966.000,5.63,
5965.000,5.61,
5964.000,5.59,
5963.000,5.58,
5962.000,5.56,
5961.000,5.55,
5960.000,5.54,
5959.000,5.53,
5958.000,5.53,
5957.000,5.52,
5956.000,5.51,
5955.000,5.51,
5954.000,5.51,
5953.000,5.51,
5952.000,5.51,
5951.000,5.51,
5950.000,5.51,
5949.000,5.52,
5948.000,5.52,
5947.000,5.53,
5946.000,5.55,
5945.000,5.56,
5944.000,5.58,
5943.000,5.6,
5942.000,5.62,
5941.000,5.65,
5940.000,5.67,
5939.000,5.7,
5938.000,5.73,
5937.000,5.76,
5936.000,5.79,
5935.000,5.83,
5934.000,5.87,
5933.000,5.91,
5932.000,5.96,
5931.000,6.01,
5930.000,6.06,
5929.000,6.11,
5928.000,6.17,
5927.000,6.22,
5926.000,6.28,
5925.000,6.34,
5924.000,6.4,
5923.000,6.46,
5922.000,6.54,
5921.000,6.62,
5920.000,6.7,
5919.000,6.79,
5918.000,6.89,
5917.000,6.98,
5916.000,7.07,
5915.000,7.17,
5914.000,7.27,
5913.000,7.37,
5912.000,7.48,
5911.000,7.6,
5910.000,7.72,
5909.000,7.85,
5908.000,7.98,
5907.000,8.12,
5906.000,8.25,
5905.000,8.39,
5904.000,8.53,
5903.000,8.68,
5902.000,8.83,
5901.000,8.99,
5900.000,9.16,
5899.000,9.33,
5898.000,9.51,
5897.000,9.7,
5896.000,9.88,
5895.000,10.08,
5894.000,10.28,
5893.000,10.49,
5892.000,10.7,
5891.000,10.92,
5890.000,11.15,
5889.000,11.38,
5888.000,11.61,
5887.000,11.85,
5886.000,12.1,
5885.000,12.35,
5884.000,12.6,
5883.000,12.86,
5882.000,13.13,
5881.000,13.4,
5880.000,13.67,
5879.000,13.95,
5878.000,14.22,
5877.000,14.5,
5876.000,14.78,
5875.000,15.06,
5874.000,15.34,
5873.000,15.62,
5872.000,15.9,
5871.000,16.18,
5870.000,16.45,
5869.000,16.72,
5868.000,16.99,
5867.000,17.25,
5866.000,17.51,
5865.000,17.76,
5864.000,18.01,
5863.000,18.24,
5862.000,18.47,
5861.000,18.68,
5860.000,18.88,
5859.000,19.07,
5858.000,19.25,
5857.000,19.42,
5856.000,19.57,
5855.000,19.71,
5854.000,19.83,
5853.000,19.94,
5852.000,20.02,
5851.000,20.1,
5850.000,20.16,
5849.000,20.2,
5848.000,20.22,
5847.000,20.24,
5846.000,20.23,
5845.000,20.2,
5844.000,20.15,
5843.000,20.08,
5842.000,19.99,
5841.000,19.88,
5840.000,19.76,
5839.000,19.63,
5838.000,19.48,
5837.000,19.32,
5836.000,19.15,
5835.000,18.96,
5834.000,18.77,
5833.000,18.56,
5832.000,18.34,
5831.000,18.11,
5830.000,17.88,
5829.000,17.63,
5828.000,17.38,
5827.000,17.13,
5826.000,16.87,
5825.000,16.61,
5824.000,16.34,
5823.000,16.08,
5822.000,15.83,
5821.000,15.56,
5820.000,15.3,
5819.000,15.03,
5818.000,14.75,
5817.000,14.48,
5816.000,14.21,
5815.000,13.94,
5814.000,13.68,
5813.000,13.43,
5812.000,13.18,
5811.000,12.93,
5810.000,12.68,
5809.000,12.44,
5808.000,12.2,
5807.000,11.96,
5806.000,11.72,
5805.000,11.49,
5804.000,11.26,
5803.000,11.04,
5802.000,10.83,
5801.000,10.62,
5800.000,10.42,
5799.000,10.22,
5798.000,10.02,
5797.000,9.84,
5796.000,9.65,
5795.000,9.47,
5794.000,9.3,
5793.000,9.12,
5792.000,8.96,
5791.000,8.79,
5790.000,8.63,
5789.000,8.48,
5788.000,8.34,
5787.000,8.19,
5786.000,8.06,
5785.000,7.92,
5784.000,7.8,
5783.000,7.67,
5782.000,7.55,
5781.000,7.43,
5780.000,7.32,
5779.000,7.21,
5778.000,7.11,
5777.000,7.01,
5776.000,6.91,
5775.000,6.82,
5774.000,6.73,
5773.000,6.63,
5772.000,6.54,
5771.000,6.46,
5770.000,6.38,
5769.000,6.31,
5768.000,6.24,
5767.000,6.17,
5766.000,6.11,
5765.000,6.04,
5764.000,5.98,
5763.000,5.92,
5762.000,5.87,
5761.000,5.82,
5760.000,5.77,
5759.000,5.73,
5758.000,5.69,
5757.000,5.64,
5756.000,5.6,
5755.000,5.56,
5754.000,5.52,
5753.000,5.48,
5752.000,5.45,
5751.000,5.42,
5750.000,5.4,
5749.000,5.37,
5748.000,5.35,
5747.000,5.33,
5746.000,5.31,
5745.000,5.3,
5744.000,5.28,
5743.000,5.27,
5742.000,5.25,
5741.000,5.24,
5740.000,5.23,
5739.000,5.22,
5738.000,5.21,
5737.000,5.21,
5736.000,5.21,
5735.000,5.22,
5734.000,5.23,
5733.000,5.24,
5732.000,5.25,
5731.000,5.26,
5730.000,5.27,
5729.000,5.28,
5728.000,5.3,
5727.000,5.31,
5726.000,5.33,
5725.000,5.35,
5724.000,5.37,
5723.000,5.39,
5722.000,5.42,
5721.000,5.46,
5720.000,5.49,
5719.000,5.53,
5718.000,5.57,
5717.000,5.6,
5716.000,5.64,
5715.000,5.68,
5714.000,5.72,
5713.000,5.77,
5712.000,5.82,
5711.000,5.88,
5710.000,5.93,
5709.000,5.99,
5708.000,6.05,
5707.000,6.12,
5706.000,6.19,
5705.000,6.26,
5704.000,6.34,
5703.000,6.42,
5702.000,6.5,
5701.000,6.58,
5700.000,6.67,
5699.000,6.76,
5698.000,6.85,
5697.000,6.95,
5696.000,7.05,
5695.000,7.16,
5694.000,7.28,
5693.000,7.39,
5692.000,7.51,
5691.000,7.63,
5690.000,7.76,
5689.000,7.89,
5688.000,8.03,
5687.000,8.18,
5686.000,8.34,
5685.000,8.5,
5684.000,8.67,
5683.000,8.84,
5682.000,9.02,
5681.000,9.2,
5680.000,9.38,
5679.000,9.57,
5678.000,9.76,
5677.000,9.96,
5676.000,10.17,
5675.000,10.39,
5674.000,10.62,
5673.000,10.85,
5672.000,11.09,
5671.000,11.33,
5670.000,11.58,
5669.000,11.84,
5668.000,12.1,
5667.000,12.36,
5666.000,12.64,
5665.000,12.92,
5664.000,13.21,
5663.000,13.5,
5662.000,13.79,
5661.000,14.09,
5660.000,14.39,
5659.000,14.69,
5658.000,15,
5657.000,15.31,
5656.000,15.62,
5655.000,15.94,
5654.000,16.25,
5653.000,16.56,
5652.000,16.87,
5651.000,17.17,
5650.000,17.47,
5649.000,17.76,
5648.000,18.05,
5647.000,18.33,
5646.000,18.6,
5645.000,18.86,
5644.000,19.1,
5643.000,19.34,
5642.000,19.57,
5641.000,19.79,
5640.000,19.99,
5639.000,20.18,
5638.000,20.34,
5637.000,20.49,
5636.000,20.62,
5635.000,20.73,
5634.000,20.82,
5633.000,20.9,
5632.000,20.96,
5631.000,21,
5630.000,21.01,
5629.000,21,
5628.000,20.97,
5627.000,20.92,
5626.000,20.85,
5625.000,20.75,
5624.000,20.64,
5623.000,20.52,
5622.000,20.38,
5621.000,20.22,
5620.000,20.05,
5619.000,19.86,
5618.000,19.66,
5617.000,19.45,
5616.000,19.23,
5615.000,18.99,
5614.000,18.74,
5613.000,18.48,
5612.000,18.21,
5611.000,17.94,
5610.000,17.66,
