;cavity_after;
Wavenumbers [1/cm];Transmittance;
6148,788;0,1865163;
6146,859;0,1878018;
6144,930;0,1890208;
6143,001;0,1901351;
6141,073;0,191069;
6139,144;0,191841;
6137,215;0,19252;
6135,287;0,1931686;
6133,358;0,1938051;
6131,429;0,1944206;
6129,500;0,1949843;
6127,572;0,1953943;
6125,643;0,1955839;
6123,714;0,1956801;
6121,785;0,195819;
6119,857;0,1959611;
6117,928;0,1960887;
6115,999;0,1961594;
6114,071;0,1959984;
6112,142;0,1955633;
6110,213;0,1949897;
6108,284;0,1944037;
6106,356;0,1938029;
6104,427;0,1931043;
6102,498;0,1923159;
6100,569;0,1915741;
6098,641;0,1909482;
6096,712;0,1902714;
6094,783;0,1893635;
6092,855;0,1882288;
6090,926;0,1869563;
6088,997;0,185641;
6087,068;0,1842843;
6085,140;0,182845;
6083,211;0,1813328;
6081,282;0,1797604;
6079,353;0,1781942;
6077,425;0,1766467;
6075,496;0,1749963;
6073,567;0,1732455;
6071,639;0,1714976;
6069,710;0,1697825;
6067,781;0,1681391;
6065,852;0,1664578;
6063,924;0,1644935;
6061,995;0,162351;
6060,066;0,1603312;
6058,137;0,1584165;
6056,209;0,1564356;
6054,280;0,1544239;
6052,351;0,1525533;
6050,423;0,1507988;
6048,494;0,1489606;
6046,565;0,1469999;
6044,636;0,1449874;
6042,708;0,1429445;
6040,779;0,1409354;
6038,850;0,1389776;
6036,921;0,1369855;
6034,993;0,1350016;
6033,064;0,1330785;
6031,135;0,1310536;
6029,206;0,1289031;
6027,278;0,1269048;
6025,349;0,1251585;
6023,420;0,1234536;
6021,492;0,1216556;
6019,563;0,1197892;
6017,634;0,1178935;
6015,705;0,1160702;
6013,777;0,1144352;
6011,848;0,1129382;
6009,919;0,1114109;
6007,990;0,1097649;
6006,062;0,1080715;
6004,133;0,1064096;
6002,204;0,1047762;
6000,276;0,1032301;
5998,347;0,1017712;
5996,418;0,1002456;
5994,489;0,09861885;
5992,561;0,09704435;
5990,632;0,09565663;
5988,703;0,09443285;
5986,774;0,09330814;
5984,846;0,09216668;
5982,917;0,09082426;
5980,988;0,08940998;
5979,060;0,08815106;
5977,131;0,08692366;
5975,202;0,08565218;
5973,273;0,08449576;
5971,345;0,08345194;
5969,416;0,08236224;
5967,487;0,08116988;
5965,558;0,07994184;
5963,630;0,07885925;
5961,701;0,07797864;
5959,772;0,07706731;
5957,844;0,07599901;
5955,915;0,07492899;
5953,986;0,07401086;
5952,057;0,07316391;
5950,129;0,07224136;
5948,200;0,07134829;
5946,271;0,07062115;
5944,342;0,06991898;
5942,414;0,06909652;
5940,485;0,06824046;
5938,556;0,06745982;
5936,627;0,06678694;
5934,699;0,06616294;
5932,770;0,0654477;
5930,841;0,06465542;
5928,913;0,06392212;
