,d2o 185 By Administrator Date Thursday. December 16 2021,
Time,15:21:53,
Wavenumbers [1/cm],Transmittance %,
5938.000,4.64693,
5937.000,4.68565,
5936.000,4.72274,
5935.000,4.75898,
5934.000,4.79566,
5933.000,4.83399,
5932.000,4.8743,
5931.000,4.91577,
5930.000,4.9572,
5929.000,4.99803,
5928.000,5.03843,
5927.000,5.07891,
5926.000,5.12037,
5925.000,5.16372,
5924.000,5.2085,
5923.000,5.25249,
5922.000,5.29389,
5921.000,5.33364,
5920.000,5.37443,
5919.000,5.41806,
5918.000,5.46444,
5917.000,5.51272,
5916.000,5.56189,
5915.000,5.61051,
5914.000,5.65728,
5913.000,5.7022,
5912.000,5.74622,
5911.000,5.79004,
5910.000,5.83421,
5909.000,5.87986,
5908.000,5.92784,
5907.000,5.9776,
5906.000,6.02816,
5905.000,6.07983,
5904.000,6.13329,
5903.000,6.18745,
5902.000,6.2403,
5901.000,6.29185,
5900.000,6.34443,
5899.000,6.39956,
5898.000,6.45633,
5897.000,6.51294,
5896.000,6.56842,
5895.000,6.62253,
5894.000,6.67573,
5893.000,6.72945,
5892.000,6.78505,
5891.000,6.84224,
5890.000,6.89976,
5889.000,6.95721,
5888.000,7.01463,
5887.000,7.07088,
5886.000,7.12481,
5885.000,7.17795,
5884.000,7.23332,
5883.000,7.29132,
5882.000,7.34939,
5881.000,7.40606,
5880.000,7.46269,
5879.000,7.52044,
5878.000,7.57833,
5877.000,7.63562,
5876.000,7.6938,
5875.000,7.75451,
5874.000,7.81731,
5873.000,7.88086,
5872.000,7.94474,
5871.000,8.00896,
5870.000,8.07293,
5869.000,8.13611,
5868.000,8.19843,
5867.000,8.25962,
5866.000,8.31951,
5865.000,8.37909,
5864.000,8.43952,
5863.000,8.5,
5862.000,8.55868,
5861.000,8.61601,
5860.000,8.67466,
5859.000,8.73562,
5858.000,8.79689,
5857.000,8.85719,
5856.000,8.91805,
5855.000,8.98097,
5854.000,9.04468,
5853.000,9.10681,
5852.000,9.16661,
5851.000,9.22446,
5850.000,9.28044,
5849.000,9.3347,
5848.000,9.38765,
5847.000,9.43942,
5846.000,9.49028,
5845.000,9.54194,
5844.000,9.59613,
5843.000,9.65174,
5842.000,9.70559,
5841.000,9.75656,
5840.000,9.80605,
5839.000,9.85408,
5838.000,9.89864,
5837.000,9.94003,
5836.000,9.98239,
5835.000,10.0285,
5834.000,10.0758,
5833.000,10.1198,
5832.000,10.1592,
5831.000,10.1949,
5830.000,10.2272,
5829.000,10.2565,
5828.000,10.2846,
5827.000,10.3133,
5826.000,10.3421,
5825.000,10.3695,
5824.000,10.3958,
5823.000,10.4215,
5822.000,10.4459,
5821.000,10.4677,
5820.000,10.4867,
5819.000,10.5034,
5818.000,10.5175,
5817.000,10.5285,
5816.000,10.5375,
5815.000,10.5458,
5814.000,10.5541,
5813.000,10.5625,
5812.000,10.5702,
5811.000,10.5756,
5810.000,10.5766,
5809.000,10.5736,
5808.000,10.5689,
5807.000,10.5636,
5806.000,10.557,
5805.000,10.5489,
5804.000,10.5405,
5803.000,10.5317,
5802.000,10.5195,
5801.000,10.5019,
5800.000,10.4805,
5799.000,10.4585,
5798.000,10.4369,
5797.000,10.4151,
5796.000,10.393,
5795.000,10.3715,
5794.000,10.3512,
5793.000,10.3316,
5792.000,10.3108,
5791.000,10.287,
5790.000,10.2596,
5789.000,10.2299,
5788.000,10.1986,
5787.000,10.1654,
5786.000,10.1299,
5785.000,10.094,
5784.000,10.0595,
5783.000,10.0248,
5782.000,9.98657,
5781.000,9.94492,
5780.000,9.90338,
5779.000,9.86368,
5778.000,9.82343,
5777.000,9.78025,
5776.000,9.73508,
5775.000,9.68987,
5774.000,9.64444,
5773.000,9.59777,
5772.000,9.55055,
5771.000,9.50445,
5770.000,9.45994,
5769.000,9.41652,
5768.000,9.37389,
5767.000,9.33165,
5766.000,9.28858,
5765.000,9.24361,
5764.000,9.19696,
5763.000,9.14928,
5762.000,9.1006,
5761.000,9.05102,
5760.000,9.00154,
5759.000,8.95326,
5758.000,8.90599,
5757.000,8.85851,
5756.000,8.80982,
