,d2o 019 By Administrator Date Friday. December 17 2021,
Time,14:56:18,
Wavenumbers [1/cm],Transmittance %,
6430.000,8.80611,
6429.000,8.75184,
6428.000,8.69904,
6427.000,8.64384,
6426.000,8.58522,
6425.000,8.52729,
6424.000,8.4738,
6423.000,8.42259,
6422.000,8.36882,
6421.000,8.31259,
6420.000,8.25905,
6419.000,8.21071,
6418.000,8.16398,
6417.000,8.11452,
6416.000,8.06276,
6415.000,8.0121,
6414.000,7.96408,
6413.000,7.91739,
6412.000,7.8698,
6411.000,7.8199,
6410.000,7.7684,
6409.000,7.71839,
6408.000,7.67274,
6407.000,7.63057,
6406.000,7.5881,
6405.000,7.54326,
6404.000,7.49751,
6403.000,7.45287,
6402.000,7.40981,
6401.000,7.3684,
6400.000,7.32882,
6399.000,7.28976,
6398.000,7.24869,
6397.000,7.20479,
6396.000,7.15938,
6395.000,7.11303,
6394.000,7.06527,
6393.000,7.01796,
6392.000,6.97549,
6391.000,6.93952,
6390.000,6.9062,
6389.000,6.87083,
6388.000,6.83302,
6387.000,6.79531,
6386.000,6.75855,
6385.000,6.7213,
6384.000,6.68266,
6383.000,6.64345,
6382.000,6.60477,
6381.000,6.56655,
6380.000,6.52744,
6379.000,6.4859,
6378.000,6.44229,
6377.000,6.39986,
6376.000,6.36215,
6375.000,6.32933,
6374.000,6.29875,
6373.000,6.26902,
6372.000,6.24072,
6371.000,6.2131,
6370.000,6.18285,
6369.000,6.14785,
6368.000,6.10998,
6367.000,6.07295,
6366.000,6.03909,
6365.000,6.00902,
6364.000,5.98221,
6363.000,5.95644,
6362.000,5.9288,
6361.000,5.89846,
6360.000,5.86714,
6359.000,5.83596,
6358.000,5.80406,
6357.000,5.77138,
6356.000,5.74015,
6355.000,5.71188,
6354.000,5.68534,
6353.000,5.65911,
6352.000,5.63401,
6351.000,5.61086,
6350.000,5.588,
6349.000,5.56345,
6348.000,5.53771,
6347.000,5.51216,
6346.000,5.48624,
6345.000,5.45876,
6344.000,5.43074,
6343.000,5.40439,
6342.000,5.38004,
6341.000,5.35638,
6340.000,5.33307,
6339.000,5.31092,
6338.000,5.28998,
6337.000,5.2692,
6336.000,5.24801,
6335.000,5.22669,
6334.000,5.20551,
6333.000,5.1846,
6332.000,5.16411,
6331.000,5.14344,
6330.000,5.12146,
6329.000,5.09832,
6328.000,5.07587,
6327.000,5.05485,
6326.000,5.03321,
6325.000,5.00894,
6324.000,4.98334,
6323.000,4.95895,
6322.000,4.93572,
6321.000,4.91163,
6320.000,4.88669,
6319.000,4.86364,
6318.000,4.84425,
6317.000,4.82724,
6316.000,4.8103,
6315.000,4.79256,
6314.000,4.77435,
6313.000,4.75614,
6312.000,4.73848,
6311.000,4.7219,
6310.000,4.70611,
6309.000,4.69021,
6308.000,4.67369,
6307.000,4.65679,
6306.000,4.63978,
6305.000,4.62261,
6304.000,4.60544,
