,d2o 181 By Administrator Date Thursday. December 16 2021,
Time,14:12:07,
Wavenumbers [1/cm],Transmittance %,
6206.000,2.69911,
6205.000,2.68733,
6204.000,2.67545,
6203.000,2.66462,
6202.000,2.65475,
6201.000,2.64554,
6200.000,2.6374,
6199.000,2.63014,
6198.000,2.62214,
6197.000,2.61187,
6196.000,2.59915,
6195.000,2.58456,
6194.000,2.56893,
6193.000,2.55444,
6192.000,2.54439,
6191.000,2.54048,
6190.000,2.54091,
6189.000,2.54208,
6188.000,2.54126,
6187.000,2.53707,
6186.000,2.52902,
6185.000,2.51804,
6184.000,2.50655,
6183.000,2.49697,
6182.000,2.49045,
6181.000,2.48708,
6180.000,2.48618,
6179.000,2.48551,
6178.000,2.4821,
6177.000,2.47542,
6176.000,2.46835,
6175.000,2.46383,
6174.000,2.4615,
6173.000,2.45923,
6172.000,2.45658,
6171.000,2.45484,
6170.000,2.45425,
6169.000,2.45295,
6168.000,2.44907,
6167.000,2.44255,
6166.000,2.43473,
6165.000,2.42738,
6164.000,2.42192,
6163.000,2.41892,
6162.000,2.4182,
6161.000,2.41964,
6160.000,2.42343,
6159.000,2.42898,
6158.000,2.43419,
6157.000,2.4366,
6156.000,2.43514,
6155.000,2.43071,
6154.000,2.42548,
6153.000,2.42182,
6152.000,2.42095,
6151.000,2.42217,
6150.000,2.42401,
6149.000,2.426,
6148.000,2.42839,
6147.000,2.4303,
6146.000,2.43016,
6145.000,2.42839,
6144.000,2.4278,
6143.000,2.43013,
6142.000,2.43401,
6141.000,2.43721,
6140.000,2.43952,
6139.000,2.44174,
6138.000,2.44387,
6137.000,2.44607,
6136.000,2.44988,
6135.000,2.45662,
6134.000,2.46518,
6133.000,2.47333,
6132.000,2.48031,
6131.000,2.48652,
6130.000,2.49157,
6129.000,2.49483,
6128.000,2.49736,
6127.000,2.50117,
6126.000,2.50682,
6125.000,2.51332,
6124.000,2.52048,
6123.000,2.52908,
6122.000,2.53867,
6121.000,2.54718,
6120.000,2.55331,
6119.000,2.55795,
6118.000,2.5624,
6117.000,2.5665,
6116.000,2.56975,
6115.000,2.57349,
6114.000,2.58058,
6113.000,2.5925,
6112.000,2.60746,
6111.000,2.62181,
6110.000,2.63344,
6109.000,2.6432,
6108.000,2.6527,
6107.000,2.66187,
6106.000,2.66982,
6105.000,2.67747,
6104.000,2.68702,
6103.000,2.69859,
6102.000,2.70961,
6101.000,2.71862,
6100.000,2.72752,
6099.000,2.73861,
6098.000,2.75144,
6097.000,2.76429,
6096.000,2.77717,
6095.000,2.79113,
6094.000,2.80533,
6093.000,2.81752,
6092.000,2.82692,
6091.000,2.83488,
6090.000,2.84304,
6089.000,2.85264,
6088.000,2.86527,
6087.000,2.88199,
6086.000,2.9018,
6085.000,2.92219,
6084.000,2.94116,
6083.000,2.95727,
6082.000,2.96892,
6081.000,2.97597,
6080.000,2.98192,
6079.000,2.9917,
6078.000,3.00644,
6077.000,3.02287,
6076.000,3.038,
6075.000,3.05256,
6074.000,3.06863,
6073.000,3.08616,
6072.000,3.10354,
6071.000,3.12011,
6070.000,3.13672,
6069.000,3.15428,
6068.000,3.17335,
6067.000,3.19426,
6066.000,3.21696,
6065.000,3.24086,
6064.000,3.26536,
6063.000,3.28975,
6062.000,3.31246,
6061.000,3.3316,
6060.000,3.34717,
6059.000,3.36164,
6058.000,3.37747,
6057.000,3.39494,
6056.000,3.41328,
6055.000,3.4328,
6054.000,3.45452,
6053.000,3.47812,
6052.000,3.50216,
6051.000,3.52599,
6050.000,3.55009,
6049.000,3.57428,
6048.000,3.59728,
6047.000,3.61863,
6046.000,3.63978,
6045.000,3.66237,
6044.000,3.68625,
6043.000,3.7106,
6042.000,3.7359,
6041.000,3.76309,
6040.000,3.79123,
6039.000,3.81783,
6038.000,3.84217,
6037.000,3.86655,
6036.000,3.89347,
6035.000,3.92292,
6034.000,3.95331,
6033.000,3.98375,
6032.000,4.01375,
6031.000,4.04196,
6030.000,4.06745,
6029.000,4.09191,
6028.000,4.11872,
6027.000,4.1496,
6026.000,4.18344,
6025.000,4.21839,
6024.000,4.2532,
6023.000,4.28657,
6022.000,4.3172,
6021.000,4.34547,
6020.000,4.37391,
6019.000,4.40479,
6018.000,4.43815,
6017.000,4.47256,
6016.000,4.50692,
6015.000,4.54106,
6014.000,4.57544,
6013.000,4.61049,
6012.000,4.64579,
6011.000,4.67997,
6010.000,4.71224,
6009.000,4.74383,
6008.000,4.77659,
6007.000,4.81072,
6006.000,4.84542,
6005.000,4.88134,
6004.000,4.92065,
6003.000,4.96414,
6002.000,5.01001,
6001.000,5.05553,
6000.000,5.09875,
5999.000,5.13863,
5998.000,5.17542,
5997.000,5.21113,
5996.000,5.24764,
5995.000,5.28457,
5994.000,5.32098,
5993.000,5.35872,
5992.000,5.40086,
5991.000,5.44686,
5990.000,5.4928,
5989.000,5.5374,
5988.000,5.58431,
5987.000,5.63632,
5986.000,5.69081,
5985.000,5.7431,
5984.000,5.79203,
5983.000,5.83954,
5982.000,5.88661,
5981.000,5.93256,
5980.000,5.9773,
5979.000,6.02201,
5978.000,6.06822,
5977.000,6.11713,
5976.000,6.16895,
5975.000,6.22171,
5974.000,6.27268,
5973.000,6.32183,
5972.000,6.3718,
5971.000,6.42348,
5970.000,6.47431,
5969.000,6.52277,
5968.000,6.57148,
5967.000,6.62342,
5966.000,6.67758,
5965.000,6.7317,
5964.000,6.78706,
5963.000,6.84693,
5962.000,6.91155,
5961.000,6.9778,
5960.000,7.04309,
5959.000,7.10648,
5958.000,7.16675,
5957.000,7.223,
5956.000,7.27692,
5955.000,7.33174,
5954.000,7.38862,
5953.000,7.44623,
5952.000,7.50387,
5951.000,7.56245,
5950.000,7.62221,
5949.000,7.68178,
5948.000,7.74032,
5947.000,7.7989,
5946.000,7.85883,
5945.000,7.91983,
5944.000,7.98042,
5943.000,8.03954,
5942.000,8.09766,
5941.000,8.15644,
5940.000,8.21719,
5939.000,8.2795,
5938.000,8.34197,
5937.000,8.40433,
5936.000,8.46767,
5935.000,8.53237,
5934.000,8.59701,
5933.000,8.66003,
5932.000,8.72087,
5931.000,8.77903,
5930.000,8.83383,
5929.000,8.88621,
5928.000,8.93904,
5927.000,8.99458,
5926.000,9.05284,
5925.000,9.11322,
5924.000,9.17562,
5923.000,9.23891,
5922.000,9.30031,
5921.000,9.35814,
5920.000,9.41357,
5919.000,9.46845,
5918.000,9.52295,
5917.000,9.5767,
5916.000,9.6305,
5915.000,9.68515,
5914.000,9.73982,
5913.000,9.79308,
5912.000,9.84444,
5911.000,9.89343,
5910.000,9.93893,
5909.000,9.9808,
5908.000,10.0207,
5907.000,10.0598,
5906.000,10.0976,
5905.000,10.1334,
5904.000,10.1681,
5903.000,10.2033,
5902.000,10.2389,
5901.000,10.2742,
5900.000,10.3091,
5899.000,10.3433,
5898.000,10.3757,
5897.000,10.4054,
5896.000,10.4327,
5895.000,10.4578,
5894.000,10.4803,
5893.000,10.5009,
5892.000,10.521,
5891.000,10.5406,
5890.000,10.558,
5889.000,10.5731,
