Wavelength [nm], Absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, 
223.000, 0.8078952, 0.8089476, 0.8073869, 0.9339042, 0.9576731, 0.9536672, 0.9566784, 0.9539495, 0.9584494, 0.9636989, 0.9651055, 0.9621739, 0.9690971, 0.9649878, 0.9770417, 0.9685187, 0.9702706, 0.968576, 0.9732847, 0.9716964, 0.9684534, 0.9718356, 0.9690747, 0.9719539, 0.9710422, 0.9729104, 0.9758635, 0.972321, 0.9795909, 0.9781742, 0.9736848, 0.9729133, 0.9735899, 0.9776964, 0.9774122, 0.9758735, 0.9775414, 0.97857, 0.9781971, 0.9770503, 
224.000, 0.810555, 0.8145199, 0.8096848, 0.934773, 0.9601235, 0.9556503, 0.9556546, 0.9579926, 0.9655385, 0.9646969, 0.9747095, 0.9728575, 0.9694948, 0.9710898, 0.972826, 0.9739923, 0.9723892, 0.970593, 0.9756775, 0.9741602, 0.9770012, 0.9730525, 0.9807081, 0.979239, 0.9790926, 0.9827304, 0.9829259, 0.9742227, 0.9744301, 0.9785724, 0.9802814, 0.980639, 0.9796743, 0.9744825, 0.9840178, 0.9773483, 0.9771309, 0.9803452, 0.9848351, 0.9838753, 
225.000, 0.8136897, 0.8133779, 0.8157439, 0.943316, 0.9636321, 0.9598122, 0.9617562, 0.9652958, 0.9664745, 0.9691758, 0.9656177, 0.9730921, 0.9762921, 0.9757247, 0.9785662, 0.9787755, 0.9784632, 0.9745741, 0.9737053, 0.9794879, 0.9759607, 0.9708915, 0.9798121, 0.975976, 0.9777446, 0.9819016, 0.9818935, 0.9805055, 0.9841886, 0.979259, 0.9885597, 0.9816222, 0.983624, 0.9811935, 0.9845605, 0.9822464, 0.9834418, 0.9825811, 0.983706, 0.9844198, 
226.000, 0.8192296, 0.8165107, 0.8184543, 0.9426522, 0.9606209, 0.9578924, 0.957674, 0.9642782, 0.9670215, 0.9670954, 0.9760814, 0.9746122, 0.9805226, 0.9773989, 0.9755535, 0.9764175, 0.9785042, 0.9784431, 0.982162, 0.9803619, 0.9774413, 0.9782462, 0.9813147, 0.9783759, 0.9822049, 0.9793859, 0.9802208, 0.9793329, 0.9813867, 0.9880786, 0.9814138, 0.9850969, 0.9822011, 0.9842296, 0.985157, 0.9852204, 0.9812946, 0.9830146, 0.9850798, 0.9890518, 
227.000, 0.8131003, 0.8149915, 0.8195944, 0.9433494, 0.9602771, 0.9575219, 0.9693131, 0.9656696, 0.9674897, 0.9666257, 0.9769902, 0.970273, 0.9675937, 0.9759245, 0.9795461, 0.9805732, 0.9731221, 0.9721885, 0.9768157, 0.9777303, 0.9739985, 0.9768276, 0.9767718, 0.974926, 0.9786572, 0.9768486, 0.9843235, 0.9806113, 0.9796777, 0.9778547, 0.9824038, 0.9815631, 0.9825373, 0.9814572, 0.9824872, 0.9796357, 0.9833713, 0.9901357, 0.9843826, 0.9816184, 
228.000, 0.8266883, 0.8286648, 0.8246737, 0.9571362, 0.9641623, 0.9669094, 0.968585, 0.9732466, 0.9788489, 0.973299, 0.9733191, 0.9834943, 0.9826684, 0.9806857, 0.9891319, 0.9844208, 0.9826593, 0.9826059, 0.9901261, 0.9891953, 0.9863725, 0.9863524, 0.9930634, 0.9872789, 0.9950185, 0.9845033, 0.9929843, 0.9854517, 0.986465, 0.9913087, 0.9929943, 0.9901433, 0.9854298, 0.9958429, 0.993082, 0.9920654, 0.9929972, 0.9919906, 0.9940152, 0.9902062, 
229.000, 0.8273997, 0.829834, 0.8294086, 0.9585099, 0.9667478, 0.9674673, 0.9684157, 0.972928, 0.9780636, 0.9784555, 0.9877338, 0.980154, 0.9836044, 0.9848185, 0.9864807, 0.9884076, 0.9903054, 0.9836669, 0.9855661, 0.988287, 0.9864106, 0.9874015, 0.9909978, 0.9846463, 0.994678, 0.9912348, 0.9930058, 0.9949331, 0.9986033, 1.002308, 0.9920478, 0.9911623, 0.9950156, 0.9873867, 0.9965887, 0.9901519, 0.9940758, 0.9949212, 0.9977245, 0.9970131, 
230.000, 0.8354645, 0.8335075, 0.834024, 0.9594932, 0.9707603, 0.9720259, 0.9718819, 0.9796901, 0.9798398, 0.9840117, 0.985292, 0.9914818, 0.9858055, 0.9903221, 0.9931602, 0.9902153, 0.9930978, 0.9878559, 0.995008, 0.9942198, 0.9915457, 0.9923496, 0.997035, 0.9922318, 0.9958191, 0.9929047, 0.9976754, 0.9918385, 0.9908667, 0.9945846, 0.9988389, 0.9957604, 0.9947453, 0.9997511, 0.9949341, 0.9980078, 1.001297, 0.9955616, 1.000418, 1.003083, 
231.000, 0.8380361, 0.8381295, 0.8377395, 0.9699302, 0.9673142, 0.9769406, 0.9752884, 0.9783158, 0.984314, 0.9826441, 0.984076, 0.9881735, 0.9872761, 0.9895191, 0.9919834, 0.9905567, 0.9956913, 0.993475, 0.9907751, 0.9986644, 0.9967113, 0.996922, 0.9998126, 0.993741, 0.9985199, 0.9966669, 0.9995675, 0.9921823, 0.9964314, 0.9995632, 1.000635, 0.9970832, 0.9965477, 0.9972343, 1.000153, 1.00184, 0.9981222, 0.9973288, 1.00413, 1.002116, 
232.000, 0.8433948, 0.8436613, 0.8458648, 0.9702201, 0.977344, 0.9829431, 0.9842262, 0.9858179, 0.9887791, 0.9911304, 0.9991889, 0.9930525, 0.9970326, 0.9972701, 0.9980664, 0.9989657, 0.9994636, 1.00123, 0.9968262, 1.003047, 1.001266, 1.003683, 1.000452, 1.007143, 1.006167, 1.01063, 1.008268, 0.9993234, 1.005483, 1.005005, 1.000185, 1.009462, 1.002952, 1.005336, 1.003418, 1.004781, 1.005244, 1.012241, 1.010487, 1.009741, 
233.000, 0.8511271, 0.8532867, 0.853075, 0.9805446, 0.9829965, 0.9842191, 0.9862447, 0.9893579, 0.9983416, 0.9958305, 0.9997635, 1.003068, 0.9997101, 1.00445, 1.0064, 1.005094, 1.004985, 1.00499, 1.007696, 1.004096, 1.007725, 1.006804, 1.012009, 1.003696, 1.013033, 1.007271, 1.009594, 1.011879, 1.00747, 1.013948, 1.01046, 1.011367, 1.014356, 1.01251, 1.014735, 1.011968, 1.013929, 1.014031, 1.014719, 1.01004, 
234.000, 0.8591828, 0.8577623, 0.8606882, 0.9842167, 0.9838853, 0.9913764, 0.9908857, 0.9967513, 0.9995193, 1.000311, 1.002369, 1.006112, 1.005142, 1.009501, 1.009015, 1.009677, 1.010345, 1.012157, 1.009692, 1.016253, 1.012168, 1.013055, 1.018466, 1.013366, 1.013574, 1.015801, 1.012198, 1.01632, 1.015628, 1.020431, 1.016865, 1.017575, 1.013683, 1.016379, 1.017291, 1.015625, 1.017571, 1.018171, 1.027033, 1.017591, 
235.000, 0.868329, 0.8699207, 0.8658795, 0.9920673, 0.9943728, 0.9967899, 1.001536, 1.002003, 1.007379, 1.005822, 1.016604, 1.010863, 1.014921, 1.013873, 1.009191, 1.015696, 1.019668, 1.021487, 1.01844, 1.017669, 1.018069, 1.018195, 1.021498, 1.02339, 1.025844, 1.020948, 1.021855, 1.019982, 1.026162, 1.028449, 1.018941, 1.030077, 1.023843, 1.028204, 1.02723, 1.024714, 1.022947, 1.026422, 1.025462, 1.025613, 
236.000, 0.872077, 0.8766341, 0.8757305, 0.9949522, 0.9979324, 1.000682, 1.00442, 1.008505, 1.013341, 1.016018, 1.017385, 1.023642, 1.021148, 1.019586, 1.022134, 1.022402, 1.024065, 1.024763, 1.023443, 1.028725, 1.023777, 1.025587, 1.028021, 1.026759, 1.028136, 1.028, 1.03043, 1.030282, 1.031224, 1.028366, 1.035242, 1.030271, 1.029916, 1.030918, 1.032644, 1.032691, 1.031502, 1.03379, 1.035135, 1.033939, 
237.000, 0.8836884, 0.8874812, 0.8868704, 1.011014, 1.000826, 1.015296, 1.011775, 1.017952, 1.021827, 1.024629, 1.026099, 1.025524, 1.029089, 1.031711, 1.031078, 1.032358, 1.03864, 1.036628, 1.035917, 1.037583, 1.037885, 1.036264, 1.035753, 1.036664, 1.040164, 1.037422, 1.038858, 1.034724, 1.041218, 1.041572, 1.039157, 1.040426, 1.039929, 1.042806, 1.042676, 1.040266, 1.04027, 1.041354, 1.042984, 1.042644, 
238.000, 0.8928146, 0.8986111, 0.8945026, 1.017233, 1.011431, 1.02432, 1.022871, 1.025081, 1.03035, 1.033442, 1.043334, 1.03975, 1.039912, 1.041744, 1.042753, 1.03714, 1.045599, 1.044634, 1.046836, 1.047503, 1.047517, 1.042148, 1.048341, 1.046789, 1.049977, 1.047282, 1.049344, 1.048279, 1.050097, 1.050328, 1.049803, 1.052992, 1.049798, 1.049693, 1.052691, 1.048301, 1.050589, 1.052882, 1.052863, 1.05189, 
239.000, 0.9038882, 0.9069004, 0.9059911, 1.025754, 1.017117, 1.028465, 1.034567, 1.032636, 1.038096, 1.046211, 1.044449, 1.04996, 1.047396, 1.050629, 1.047709, 1.052485, 1.055573, 1.050702, 1.053079, 1.054327, 1.053347, 1.053024, 1.059172, 1.05273, 1.060396, 1.051493, 1.056839, 1.056756, 1.0588, 1.052989, 1.064263, 1.057515, 1.059759, 1.060183, 1.059165, 1.062309, 1.057123, 1.063811, 1.062604, 1.059974, 
