,cavity_after,
Wavenumbers [1/cm],Transmittance,
6476.672,0.05949879,
6474.743,0.05916457,
6472.814,0.05882245,
6470.885,0.05855092,
6468.957,0.0585047,
6467.028,0.05850015,
6465.099,0.05827302,
6463.170,0.05797448,
6461.242,0.05790742,
6459.313,0.05795106,
6457.384,0.05783919,
6455.456,0.05764077,
6453.527,0.05754603,
6451.598,0.05754366,
6449.669,0.05752921,
6447.741,0.05744865,
6445.812,0.05735223,
6443.883,0.05742991,
6441.954,0.05767704,
6440.026,0.05781338,
6438.097,0.05769803,
6436.168,0.05746273,
6434.240,0.05745273,
6432.311,0.05781208,
6430.382,0.05827153,
6428.453,0.05866841,
6426.525,0.05893008,
6424.596,0.05895763,
6422.667,0.05892421,
6420.738,0.05902624,
6418.810,0.05921717,
6416.881,0.05935002,
6414.952,0.05948052,
6413.024,0.0598567,
6411.095,0.06042536,
6409.166,0.06093091,
6407.237,0.0613196,
6405.309,0.06163283,
6403.380,0.06187665,
6401.451,0.06213233,
6399.522,0.06256795,
6397.594,0.06313273,
6395.665,0.06366384,
6393.736,0.06423597,
6391.808,0.06489196,
6389.879,0.06550488,
6387.950,0.06604217,
6386.021,0.06660489,
6384.093,0.06727247,
6382.164,0.06796613,
6380.235,0.06852035,
6378.306,0.06895002,
6376.378,0.06953471,
6374.449,0.07046068,
6372.520,0.07152019,
6370.591,0.07239853,
6368.663,0.07309352,
6366.734,0.0738431,
6364.805,0.07478599,
6362.877,0.07586947,
6360.948,0.0770428,
6359.019,0.07830711,
6357.090,0.0795194,
6355.162,0.08053453,
6353.233,0.08148196,
6351.304,0.08251619,
6349.375,0.08361773,
6347.447,0.08481002,
6345.518,0.08613717,
6343.589,0.08750183,
6341.661,0.08888733,
6339.732,0.09043811,
6337.803,0.09213989,
6335.874,0.09382161,
6333.946,0.09541637,
6332.017,0.09701442,
6330.088,0.09869643,
6328.159,0.1003589,
6326.231,0.1019415,
6324.302,0.1036417,
6322.373,0.1055313,
6320.445,0.1074082,
6318.516,0.1092612,
6316.587,0.1112225,
6314.658,0.1132391,
6312.730,0.1152993,
6310.801,0.1174647,
6308.872,0.1196518,
6306.943,0.1217674,
6305.015,0.1238214,
6303.086,0.1259298,
6301.157,0.128203,
6299.229,0.1305276,
6297.300,0.1327975,
6295.371,0.1351353,
6293.442,0.1375045,
