,cavity_before,
Wavenumbers [1/cm],Transmittance,
5329.078,0.0973689,
5327.149,0.09510604,
5325.220,0.0928724,
5323.292,0.09069383,
5321.363,0.08862515,
5319.434,0.08665228,
5317.506,0.08480072,
5315.577,0.08300326,
5313.648,0.08115676,
5311.719,0.07934724,
5309.791,0.07763229,
5307.862,0.07598197,
5305.933,0.07443371,
5304.004,0.07295829,
5302.076,0.07144956,
5300.147,0.06990658,
5298.218,0.0684239,
5296.290,0.06705762,
5294.361,0.06578865,
5292.432,0.06458672,
5290.503,0.06342214,
5288.575,0.06225997,
5286.646,0.06112247,
5284.717,0.06007381,
5282.788,0.05912175,
5280.860,0.05820801,
5278.931,0.0572513,
5277.002,0.05624054,
5275.073,0.05529118,
5273.145,0.05445955,
5271.216,0.05364839,
5269.287,0.05277645,
5267.359,0.05189604,
5265.430,0.05112185,
5263.501,0.05047195,
5261.572,0.04986901,
5259.644,0.04924884,
