,2-PROPANONE,
Wavenumbers [1/cm],Transmittance,
2925.285,0.6122,
2924.246,0.6237,
2923.206,0.6362,
2922.166,0.6526,
2921.127,0.6682,
2920.087,0.6797,
2919.047,0.6909,
2918.008,0.7009,
2916.968,0.7106,
2915.928,0.7191,
2914.889,0.7276,
2913.849,0.7361,
2912.810,0.7442,
2911.770,0.7502,
2910.730,0.7562,
2909.691,0.7622,
2908.651,0.7678,
2907.611,0.7718,
2906.572,0.7756,
2905.532,0.7786,
2904.492,0.7813,
2903.453,0.7828,
2902.413,0.7848,
2901.373,0.7893,
2900.334,0.7935,
2899.294,0.796,
2898.255,0.7984,
2897.215,0.8004,
2896.175,0.8023,
2895.136,0.8038,
2894.096,0.8053,
2893.056,0.8068,
2892.017,0.8083,
2890.977,0.8098,
2889.937,0.8113,
2888.898,0.8128,
2887.858,0.8142,
2886.819,0.8152,
2885.779,0.8162,
2884.739,0.8172,
2883.700,0.8181,
2882.660,0.8186,
2881.620,0.8192,
2880.581,0.8202,
2879.541,0.821,
2878.501,0.821,
2877.462,0.8211,
2876.422,0.8216,
2875.382,0.822,
2874.343,0.822,
2873.303,0.8222,
2872.264,0.8232,
2871.224,0.824,
2870.184,0.824,
2869.145,0.824,
2868.105,0.824,
2867.065,0.8241,
2866.026,0.8246,
2864.986,0.825,
2863.946,0.825,
2862.907,0.8249,
2861.867,0.8244,
2860.828,0.8236,
2859.788,0.8211,
2858.748,0.8187,
2857.709,0.8172,
2856.669,0.8156,
2855.629,0.8131,
2854.590,0.8107,
2853.550,0.8092,
2852.510,0.8077,
2851.471,0.8062,
2850.431,0.8046,
2849.391,0.8026,
2848.352,0.8008,
2847.312,0.7998,
2846.273,0.799,
2845.233,0.799,
2844.193,0.7992,
2843.154,0.8002,
2842.114,0.8013,
2841.074,0.8028,
2840.035,0.805,
2838.995,0.811,
2837.955,0.8165,
2836.916,0.8195,
2835.876,0.8228,
2834.837,0.8273,
2833.797,0.8312,
2832.757,0.8322,
2831.718,0.8333,
2830.678,0.8354,
2829.638,0.8373,
2828.599,0.8388,
2827.559,0.8404,
2826.519,0.8424,
2825.480,0.8441,
2824.440,0.8446,
2823.400,0.8453,
2822.361,0.8468,
2821.321,0.8483,
2820.282,0.8498,
2819.242,0.8512,
2818.202,0.8522,
2817.163,0.853,
2816.123,0.853,
2815.083,0.853,
2814.044,0.853,
2813.004,0.8531,
2811.964,0.8536,
2810.925,0.854,
2809.885,0.854,
2808.846,0.854,
2807.806,0.854,
2806.766,0.8539,
2805.727,0.8534,
2804.687,0.853,
2803.647,0.853,
2802.608,0.8528,
2801.568,0.8518,
2800.528,0.8507,
2799.489,0.8492,
2798.449,0.8478,
2797.409,0.8463,
2796.370,0.8445,
2795.330,0.8415,
2794.291,0.8388,
2793.251,0.8378,
2792.211,0.8364,
2791.172,0.8329,
2790.132,0.8295,
2789.092,0.8265,
2788.053,0.8238,
2787.013,0.8228,
2785.973,0.8222,
2784.934,0.8232,
2783.894,0.8241,
2782.855,0.8246,
2781.815,0.8254,
2780.775,0.8279,
2779.736,0.8305,
2778.696,0.8335,
2777.656,0.8367,
2776.617,0.8412,
2775.577,0.8456,
2774.537,0.8496,
2773.498,0.8532,
2772.458,0.8547,
2771.418,0.8562,
2770.379,0.8577,
2769.339,0.8593,
2768.300,0.8613,
2767.260,0.8632,
2766.220,0.8642,
2765.181,0.8653,
2764.141,0.8668,
2763.101,0.8682,
