,cyclohexanone_3um,
Wavenumbers [1/cm],Absorbance,
3775.000,0.0748,
3774.000,0.0748,
3773.000,0.0748,
3772.000,0.0749,
3771.000,0.0748,
3770.000,0.0748,
3769.000,0.0748,
3768.000,0.0748,
3767.000,0.0747,
3766.000,0.0746,
3765.000,0.0746,
3764.000,0.0746,
3763.000,0.0745,
3762.000,0.0744,
3761.000,0.0743,
3760.000,0.0742,
3759.000,0.0741,
3758.000,0.0739,
3757.000,0.0738,
3756.000,0.0737,
3755.000,0.0737,
3754.000,0.0737,
3753.000,0.0737,
3752.000,0.0737,
3751.000,0.0736,
3750.000,0.0735,
3749.000,0.0732,
3748.000,0.0731,
3747.000,0.0729,
3746.000,0.0727,
3745.000,0.0725,
3744.000,0.0724,
3743.000,0.0723,
3742.000,0.0722,
3741.000,0.0721,
3740.000,0.0719,
3739.000,0.0718,
3738.000,0.0716,
3737.000,0.0714,
3736.000,0.0713,
3735.000,0.0713,
3734.000,0.0715,
3733.000,0.0717,
3732.000,0.0718,
3731.000,0.072,
3730.000,0.0722,
3729.000,0.0722,
3728.000,0.0722,
3727.000,0.0722,
3726.000,0.0721,
3725.000,0.0721,
3724.000,0.0721,
3723.000,0.072,
3722.000,0.0721,
3721.000,0.0721,
3720.000,0.0722,
3719.000,0.0723,
3718.000,0.0723,
3717.000,0.0724,
3716.000,0.0724,
3715.000,0.0724,
3714.000,0.0723,
3713.000,0.0723,
3712.000,0.0722,
3711.000,0.0721,
3710.000,0.0721,
3709.000,0.0722,
3708.000,0.0722,
3707.000,0.0723,
3706.000,0.0724,
3705.000,0.0724,
3704.000,0.0725,
3703.000,0.0726,
3702.000,0.0727,
3701.000,0.0728,
3700.000,0.0729,
3699.000,0.073,
3698.000,0.0731,
3697.000,0.0732,
3696.000,0.0733,
3695.000,0.0734,
3694.000,0.0734,
3693.000,0.0735,
3692.000,0.0736,
3691.000,0.0738,
3690.000,0.0741,
3689.000,0.0743,
3688.000,0.0744,
3687.000,0.0745,
3686.000,0.0744,
3685.000,0.0743,
3684.000,0.0742,
3683.000,0.0741,
3682.000,0.0739,
3681.000,0.0738,
3680.000,0.0737,
3679.000,0.0738,
3678.000,0.0739,
3677.000,0.074,
3676.000,0.074,
3675.000,0.074,
3674.000,0.0741,
3673.000,0.0742,
3672.000,0.0742,
3671.000,0.0742,
3670.000,0.0743,
3669.000,0.0744,
3668.000,0.0746,
3667.000,0.0747,
3666.000,0.0748,
3665.000,0.0749,
3664.000,0.075,
3663.000,0.0752,
3662.000,0.0753,
3661.000,0.0755,
3660.000,0.0757,
3659.000,0.0759,
3658.000,0.0761,
3657.000,0.0762,
3656.000,0.0764,
3655.000,0.0765,
3654.000,0.0767,
3653.000,0.0768,
3652.000,0.0769,
3651.000,0.077,
3650.000,0.0771,
3649.000,0.0772,
3648.000,0.0772,
3647.000,0.0773,
3646.000,0.0775,
3645.000,0.0777,
3644.000,0.0779,
3643.000,0.0781,
3642.000,0.0783,
3641.000,0.0786,
3640.000,0.0789,
3639.000,0.0791,
3638.000,0.0793,
3637.000,0.0795,
3636.000,0.0797,
3635.000,0.0799,
3634.000,0.0801,
3633.000,0.0803,
3632.000,0.0805,
3631.000,0.0806,
3630.000,0.0807,
3629.000,0.0808,
3628.000,0.081,
3627.000,0.0812,
3626.000,0.0814,
3625.000,0.0815,
3624.000,0.0817,
3623.000,0.0819,
3622.000,0.082,
3621.000,0.0822,
3620.000,0.0824,
3619.000,0.0826,
3618.000,0.0827,
3617.000,0.0827,
3616.000,0.0827,
3615.000,0.0826,
3614.000,0.0826,
3613.000,0.0826,
3612.000,0.0826,
3611.000,0.0826,
3610.000,0.0825,
3609.000,0.0825,
3608.000,0.0825,
3607.000,0.0825,
3606.000,0.0826,
3605.000,0.0826,
3604.000,0.0826,
3603.000,0.0826,
3602.000,0.0825,
3601.000,0.0825,
3600.000,0.0825,
3599.000,0.0825,
3598.000,0.0824,
3597.000,0.0823,
3596.000,0.0822,
3595.000,0.0821,
3594.000,0.0821,
3593.000,0.082,
3592.000,0.082,
3591.000,0.0819,
3590.000,0.0818,
3589.000,0.0817,
3588.000,0.0815,
3587.000,0.0814,
3586.000,0.0814,
3585.000,0.0813,
3584.000,0.0813,
3583.000,0.0813,
3582.000,0.0813,
3581.000,0.0814,
3580.000,0.0814,
3579.000,0.0814,
3578.000,0.0814,
3577.000,0.0814,
3576.000,0.0814,
3575.000,0.0814,
3574.000,0.0813,
3573.000,0.0813,
3572.000,0.0812,
3571.000,0.0812,
3570.000,0.081,
3569.000,0.0809,
3568.000,0.0807,
3567.000,0.0805,
3566.000,0.0804,
3565.000,0.0803,
3564.000,0.0803,
3563.000,0.0803,
3562.000,0.0804,
3561.000,0.0806,
3560.000,0.0807,
3559.000,0.0808,
3558.000,0.0809,
3557.000,0.081,
3556.000,0.081,
3555.000,0.0811,
3554.000,0.0811,
3553.000,0.0812,
3552.000,0.0812,
3551.000,0.0812,
3550.000,0.0813,
3549.000,0.0813,
3548.000,0.0813,
3547.000,0.0812,
3546.000,0.0812,
3545.000,0.0813,
3544.000,0.0813,
3543.000,0.0814,
3542.000,0.0814,
3541.000,0.0816,
3540.000,0.0817,
3539.000,0.0818,
3538.000,0.0819,
3537.000,0.082,
3536.000,0.0821,
3535.000,0.0821,
3534.000,0.0822,
3533.000,0.0822,
3532.000,0.0823,
3531.000,0.0823,
3530.000,0.0824,
3529.000,0.0824,
3528.000,0.0824,
3527.000,0.0824,
3526.000,0.0824,
3525.000,0.0824,
3524.000,0.0824,
3523.000,0.0825,
3522.000,0.0825,
3521.000,0.0826,
3520.000,0.0827,
3519.000,0.0828,
3518.000,0.0829,
3517.000,0.0829,
3516.000,0.083,
3515.000,0.083,
3514.000,0.0829,
3513.000,0.0829,
3512.000,0.0829,
3511.000,0.0828,
3510.000,0.0828,
3509.000,0.0827,
3508.000,0.0826,
3507.000,0.0826,
3506.000,0.0825,
3505.000,0.0824,
3504.000,0.0823,
3503.000,0.0822,
3502.000,0.0821,
3501.000,0.0821,
3500.000,0.082,
3499.000,0.082,
3498.000,0.0819,
3497.000,0.0819,
3496.000,0.0818,
3495.000,0.0818,
3494.000,0.0817,
3493.000,0.0817,
3492.000,0.0817,
3491.000,0.0817,
3490.000,0.0817,
3489.000,0.0816,
3488.000,0.0816,
3487.000,0.0816,
3486.000,0.0816,
3485.000,0.0816,
3484.000,0.0817,
3483.000,0.0817,
3482.000,0.0817,
3481.000,0.0817,
3480.000,0.0817,
3479.000,0.0818,
3478.000,0.0818,
3477.000,0.0818,
3476.000,0.0819,
3475.000,0.0819,
3474.000,0.082,
3473.000,0.082,
3472.000,0.082,
3471.000,0.082,
3470.000,0.082,
3469.000,0.082,
3468.000,0.082,
3467.000,0.082,
3466.000,0.0821,
3465.000,0.0821,
3464.000,0.0822,
3463.000,0.0823,
3462.000,0.0824,
3461.000,0.0825,
3460.000,0.0825,
3459.000,0.0826,
3458.000,0.0827,
3457.000,0.0829,
3456.000,0.083,
3455.000,0.0832,
