,02-11-2021_11h23,
Wavenumbers [1/cm],Transmittance,
4563.373,4.282649,
4559.515,4.279635,
4555.658,4.276504,
4551.800,4.273496,
4547.943,4.271359,
4544.085,4.270065,
4540.228,4.269178,
4536.370,4.26828,
4532.513,4.267087,
4528.655,4.265676,
4524.798,4.263853,
4520.940,4.261521,
4517.083,4.258682,
4513.226,4.254694,
4509.368,4.249172,
4505.511,4.242373,
4501.653,4.234371,
4497.796,4.225216,
4493.938,4.215098,
4490.081,4.203932,
4486.223,4.191785,
4482.366,4.178868,
4478.508,4.165178,
4474.651,4.150589,
4470.794,4.134856,
4466.936,4.117508,
4463.079,4.097507,
4459.221,4.073817,
4455.364,4.045652,
4451.506,4.011552,
4447.649,3.969671,
4443.791,3.918647,
4439.934,3.858219,
4436.076,3.790002,
4432.219,3.719095,
4428.362,3.655697,
4424.504,3.612703,
4420.647,3.598829,
4416.789,3.612344,
4412.932,3.641465,
4409.074,3.672009,
4405.217,3.694841,
4401.359,3.707437,
4397.502,3.711952,
4393.644,3.713352,
4389.787,3.717143,
4385.929,3.725798,
4382.072,3.736534,
4378.215,3.743867,
4374.357,3.744656,
4370.500,3.73881,
4366.642,3.726739,
4362.785,3.711329,
4358.927,3.700604,
4355.070,3.703561,
4351.212,3.723927,
4347.355,3.758082,
4343.497,3.797399,
4339.640,3.832844,
4335.783,3.857915,
4331.925,3.868969,
4328.068,3.865658,
4324.210,3.851561,
4320.353,3.833969,
4316.495,3.822867,
4312.638,3.827579,
4308.780,3.850338,
4304.923,3.884257,
4301.065,3.919878,
4297.208,3.950995,
4293.350,3.975578,
4289.493,3.994806,
4285.636,4.010717,
4281.778,4.024754,
4277.921,4.037715,
4274.063,4.049519,
4270.206,4.059518,
4266.348,4.067544,
4262.491,4.073494,
4258.633,4.076596,
4254.776,4.076429,
4250.918,4.073372,
4247.061,4.067506,
4243.204,4.058129,
4239.346,4.044454,
4235.489,4.026713,
4231.631,4.007484,
4227.774,3.991272,
4223.916,3.982314,
4220.059,3.981752,
4216.201,3.985788,
4212.344,3.987732,
4208.486,3.980484,
4204.629,3.958818,
4200.772,3.921212,
4196.914,3.86957,
4193.057,3.811625,
4189.199,3.763736,
4185.342,3.74566,
4181.484,3.766654,
4177.627,3.817573,
4173.769,3.878694,
4169.912,3.932723,
4166.054,3.970567,
4162.197,3.989077,
4158.339,3.987578,
4154.482,3.966298,
4150.625,3.929571,
4146.767,3.891378,
4142.910,3.872578,
4139.052,3.886579,
4135.195,3.927643,
4131.337,3.978014,
4127.480,4.022647,
4123.622,4.055394,
4119.765,4.076921,
4115.907,4.090199,
4112.050,4.097678,
4108.193,4.100887,
4104.335,4.101201,
4100.478,4.098853,
