;Part of: cyclohexanone with sp;
Wavelength [nm];Transmittance %;
1573,629;0,000612099;
1575,557;0,00113126;
1577,486;0,00365995;
1579,414;0,00849728;
1581,343;0,0155972;
1583,271;0,024536;
1585,200;0,0343301;
1587,128;0,0434795;
1589,057;0,0506926;
1590,985;0,0558025;
1592,914;0,0598113;
1594,842;0,0642178;
1596,771;0,0704723;
1598,699;0,0797333;
1600,628;0,0928169;
1602,556;0,110462;
1604,484;0,133858;
1606,413;0,164735;
1608,341;0,204469;
1610,270;0,252789;
1612,198;0,307618;
1614,127;0,36706;
1616,055;0,432814;
1617,984;0,512313;
1619,912;0,616334;
1621,841;0,750549;
1623,769;0,903931;
1625,698;1,04406;
1627,626;1,12996;
1629,555;1,13589;
1631,483;1,064;
1633,412;0,937716;
1635,340;0,7876;
1637,268;0,640551;
1639,197;0,514251;
1641,125;0,415618;
1643,054;0,342662;
1644,982;0,288899;
1646,911;0,248053;
1648,839;0,216471;
1650,768;0,192591;
1652,696;0,175236;
1654,625;0,16277;
1656,553;0,153462;
1658,482;0,146113;
1660,410;0,140183;
1662,339;0,135427;
1664,267;0,131528;
1666,195;0,128058;
1668,124;0,124692;
1670,052;0,121353;
1671,981;0,118132;
1673,909;0,115124;
1675,838;0,112371;
1677,766;0,109948;
1679,695;0,108027;
1681,623;0,106794;
1683,552;0,106256;
1685,480;0,106161;
1687,409;0,10616;
1689,337;0,106032;
1691,266;0,105779;
1693,194;0,105553;
1695,122;0,105506;
1697,051;0,105693;
1698,979;0,106116;
1700,908;0,106848;
1702,836;0,10807;
1704,765;0,109955;
1706,693;0,11252;
1708,622;0,115555;
1710,550;0,118689;
1712,479;0,121578;
1714,407;0,124112;
1716,336;0,126498;
1718,264;0,129189;
1720,193;0,132656;
1722,121;0,137154;
1724,049;0,142619;
1725,978;0,148798;
1727,906;0,155478;
1729,835;0,162642;
1731,763;0,170465;
1733,692;0,179247;
1735,620;0,189323;
1737,549;0,201;
1739,477;0,214573;
1741,406;0,230371;
1743,334;0,2488;
1745,263;0,270305;
1747,191;0,295282;
1749,120;0,324048;
1751,048;0,356997;
