,Part of: cyclohexanone with sp no au,Part of: Part of: cyclohexanone no au,
Wavelength [nm],Transmittance %,Transmittance %,
2117.457,82.4654,83.2348,
2119.385,82.4482,83.2554,
2121.314,82.4575,83.2613,
2123.242,82.4928,83.2617,
2125.171,82.5526,83.2652,
2127.099,82.6335,83.2787,
2129.028,82.7284,83.309,
2130.956,82.8258,83.3622,
2132.884,82.9119,83.4443,
2134.813,82.9763,83.5589,
2136.741,83.0152,83.705,
2138.670,83.0322,83.8744,
2140.598,83.0347,84.0519,
2142.527,83.0325,84.2186,
2144.455,83.0344,84.3585,
2146.384,83.0477,84.4659,
2148.312,83.0786,84.5474,
2150.241,83.1329,84.6163,
2152.169,83.2158,84.6826,
2154.098,83.3307,84.7434,
2156.026,83.4762,84.7825,
2157.955,83.6444,84.78,
2159.883,83.8199,84.7267,
2161.811,83.9839,84.6347,
2163.740,84.121,84.5359,
2165.668,84.2256,84.4678,
2167.597,84.3045,84.4547,
2169.525,84.3713,84.4947,
2171.454,84.4357,84.5586,
2173.382,84.4948,84.6023,
2175.311,84.5327,84.5854,
2177.239,84.5295,84.4872,
2179.168,84.4762,84.3144,
2181.096,84.3848,84.0985,
2183.025,84.2865,83.8857,
2184.953,84.2182,83.7237,
2186.882,84.204,83.6487,
2188.810,84.2422,83.6771,
2190.738,84.3041,83.8033,
2192.667,84.3464,84.0041,
2194.595,84.3288,84.2474,
2196.524,84.2303,84.5008,
2198.452,84.0568,84.7379,
2200.381,83.8388,84.9415,
2202.309,83.6219,85.1037,
2204.238,83.4535,85.2239,
2206.166,83.37,85.3053,
2208.095,83.3878,85.3486,
2210.023,83.5016,85.3465,
2211.952,83.6883,85.2823,
2213.880,83.9158,85.1363,
2215.809,84.152,84.8984,
2217.737,84.3713,84.581,
2219.665,84.5577,84.2239,
2221.594,84.7044,83.8854,
2223.522,84.8122,83.6234,
2225.451,84.8843,83.4768,
2227.379,84.9211,83.4588,
2229.308,84.9139,83.5644,
2231.236,84.8451,83.7805,
2233.165,84.6943,84.0872,
2235.093,84.4517,84.4458,
2237.022,84.1309,84.7957,
2238.950,83.7723,85.0775,
2240.879,83.4345,85.2648,
2242.807,83.1749,85.3712,
2244.736,83.0309,85.428,
2246.664,83.0133,85.4614,
2248.592,83.1141,85.4806,
2250.521,83.3185,85.4806,
2252.449,83.6071,85.4566,
2254.378,83.9446,85.4229,
2256.306,84.2736,85.4149,
2258.235,84.5351,85.4638,
2260.163,84.7034,85.5663,
2262.092,84.795,85.6802,
2264.020,84.8457,85.7458,
2265.949,84.882,85.7143,
2267.877,84.907,85.5695,
2269.806,84.907,85.3318,
2271.734,84.8748,85.0466,
2273.663,84.8338,84.7664,
