,cavity_after2,
Wavenumbers [1/cm],Transmittance %,
5791.000,15.55,
5790.000,15.64,
5789.000,15.73,
5788.000,15.82,
5787.000,15.9,
5786.000,15.97,
5785.000,16.04,
5784.000,16.11,
5783.000,16.18,
5782.000,16.24,
5781.000,16.29,
5780.000,16.34,
5779.000,16.38,
5778.000,16.41,
5777.000,16.44,
5776.000,16.46,
5775.000,16.48,
5774.000,16.48,
5773.000,16.48,
5772.000,16.47,
5771.000,16.44,
5770.000,16.41,
5769.000,16.37,
5768.000,16.32,
5767.000,16.26,
5766.000,16.2,
5765.000,16.12,
5764.000,16.04,
5763.000,15.94,
5762.000,15.84,
5761.000,15.73,
5760.000,15.6,
5759.000,15.48,
5758.000,15.34,
5757.000,15.2,
5756.000,15.05,
5755.000,14.91,
5754.000,14.75,
5753.000,14.59,
5752.000,14.42,
5751.000,14.24,
5750.000,14.06,
5749.000,13.87,
5748.000,13.69,
5747.000,13.51,
5746.000,13.32,
5745.000,13.13,
5744.000,12.93,
5743.000,12.74,
5742.000,12.54,
5741.000,12.34,
5740.000,12.15,
5739.000,11.96,
5738.000,11.77,
5737.000,11.58,
5736.000,11.4,
5735.000,11.22,
5734.000,11.04,
5733.000,10.87,
5732.000,10.69,
5731.000,10.52,
5730.000,10.35,
5729.000,10.18,
5728.000,10.01,
5727.000,9.85,
5726.000,9.7,
5725.000,9.54,
5724.000,9.39,
5723.000,9.25,
5722.000,9.11,
5721.000,8.97,
5720.000,8.84,
5719.000,8.71,
5718.000,8.58,
5717.000,8.46,
5716.000,8.34,
5715.000,8.22,
5714.000,8.11,
5713.000,7.99,
5712.000,7.89,
5711.000,7.79,
5710.000,7.69,
5709.000,7.59,
5708.000,7.5,
5707.000,7.42,
5706.000,7.33,
5705.000,7.25,
5704.000,7.17,
5703.000,7.1,
5702.000,7.04,
5701.000,6.98,
5700.000,6.91,
5699.000,6.85,
5698.000,6.79,
5697.000,6.74,
5696.000,6.68,
5695.000,6.63,
5694.000,6.58,
5693.000,6.54,
5692.000,6.5,
5691.000,6.47,
5690.000,6.44,
5689.000,6.41,
5688.000,6.38,
5687.000,6.35,
5686.000,6.33,
5685.000,6.3,
5684.000,6.28,
5683.000,6.27,
5682.000,6.25,
5681.000,6.25,
