,d2o 061 By Administrator Date Tuesday. December 14 2021,
Time,16:57:50,
Wavenumbers [1/cm],Transmittance %,
6520.000,9.02756,
6519.000,8.98335,
6518.000,8.93614,
6517.000,8.883,
6516.000,8.82578,
6515.000,8.76901,
6514.000,8.7154,
6513.000,8.66437,
6512.000,8.61377,
6511.000,8.56183,
6510.000,8.50806,
6509.000,8.45308,
6508.000,8.39725,
6507.000,8.34003,
6506.000,8.28185,
6505.000,8.2257,
6504.000,8.17435,
6503.000,8.12624,
6502.000,8.07714,
6501.000,8.02591,
6500.000,7.97577,
6499.000,7.92883,
6498.000,7.8829,
6497.000,7.83494,
6496.000,7.78502,
6495.000,7.73486,
6494.000,7.68518,
6493.000,7.63623,
6492.000,7.58877,
6491.000,7.5427,
6490.000,7.49669,
6489.000,7.45042,
6488.000,7.40498,
6487.000,7.35983,
6486.000,7.31218,
6485.000,7.26136,
6484.000,7.21091,
6483.000,7.16414,
6482.000,7.12002,
6481.000,7.07597,
6480.000,7.03228,
6479.000,6.99055,
6478.000,6.94949,
6477.000,6.90608,
6476.000,6.86032,
6475.000,6.81538,
6474.000,6.77288,
6473.000,6.73082,
6472.000,6.68699,
6471.000,6.64217,
6470.000,6.59862,
6469.000,6.55717,
6468.000,6.51674,
6467.000,6.47635,
6466.000,6.43636,
6465.000,6.39738,
6464.000,6.35871,
6463.000,6.31887,
6462.000,6.27766,
6461.000,6.23678,
6460.000,6.19759,
6459.000,6.15938,
6458.000,6.12084,
6457.000,6.08198,
6456.000,6.04311,
6455.000,6.0031,
6454.000,5.96124,
6453.000,5.91993,
6452.000,5.88252,
6451.000,5.84847,
6450.000,5.81327,
6449.000,5.77405,
6448.000,5.73244,
6447.000,5.69145,
6446.000,5.65192,
6445.000,5.61368,
6444.000,5.57747,
6443.000,5.54385,
6442.000,5.51143,
6441.000,5.47767,
6440.000,5.44106,
6439.000,5.40206,
6438.000,5.36292,
6437.000,5.32678,
6436.000,5.29516,
6435.000,5.26628,
6434.000,5.23682,
6433.000,5.20536,
6432.000,5.17246,
6431.000,5.1381,
6430.000,5.1019,
6429.000,5.06569,
6428.000,5.03239,
6427.000,5.00168,
6426.000,4.97002,
6425.000,4.93563,
6424.000,4.90074,
6423.000,4.86763,
6422.000,4.83599,
6421.000,4.8057,
6420.000,4.77853,
6419.000,4.75464,
6418.000,4.73007,
6417.000,4.70069,
6416.000,4.66682,
6415.000,4.63146,
6414.000,4.59621,
6413.000,4.56164,
6412.000,4.52951,
6411.000,4.5014,
6410.000,4.47593,
6409.000,4.45019,
6408.000,4.42307,
6407.000,4.39523,
6406.000,4.36673,
6405.000,4.33743,
6404.000,4.30868,
6403.000,4.28183,
6402.000,4.25566,
6401.000,4.2278,
6400.000,4.19852,
6399.000,4.17064,
6398.000,4.14573,
6397.000,4.12252,
6396.000,4.09913,
6395.000,4.07502,
6394.000,4.05034,
6393.000,4.02527,
6392.000,4.00032,
6391.000,3.9763,
6390.000,3.95376,
6389.000,3.93317,
6388.000,3.91475,
6387.000,3.89693,
6386.000,3.87611,
6385.000,3.85012,
6384.000,3.82134,
6383.000,3.79444,
6382.000,3.771,
6381.000,3.74872,
6380.000,3.7254,
6379.000,3.7011,
6378.000,3.67556,
6377.000,3.64686,
6376.000,3.61466,
6375.000,3.58283,
6374.000,3.55613,
6373.000,3.53513,
6372.000,3.51669,
6371.000,3.4989,
6370.000,3.48275,
6369.000,3.4683,
6368.000,3.45222,
6367.000,3.43122,
6366.000,3.40707,
6365.000,3.3851,
6364.000,3.36788,
6363.000,3.35228,
6362.000,3.33402,
6361.000,3.31313,
6360.000,3.29303,
6359.000,3.27549,
6358.000,3.25864,
6357.000,3.24059,
6356.000,3.22263,
6355.000,3.20761,
6354.000,3.1962,
6353.000,3.18595,
6352.000,3.17342,
6351.000,3.15659,
6350.000,3.13592,
6349.000,3.11386,
6348.000,3.09336,
6347.000,3.07558,
6346.000,3.05947,
6345.000,3.04364,
6344.000,3.02826,
6343.000,3.01456,
6342.000,3.00274,
6341.000,2.99167,
6340.000,2.98071,
6339.000,2.97134,
6338.000,2.96545,
6337.000,2.96204,
6336.000,2.9566,
6335.000,2.94517,
6334.000,2.92887,
6333.000,2.91289,
6332.000,2.90077,
6331.000,2.89112,
6330.000,2.88077,
6329.000,2.86939,
6328.000,2.85929,
6327.000,2.85158,
6326.000,2.84484,
6325.000,2.83738,
6324.000,2.82902,
6323.000,2.82039,
6322.000,2.812,
6321.000,2.80422,
6320.000,2.79688,
6319.000,2.78934,
6318.000,2.782,
6317.000,2.77742,
6316.000,2.77741,
6315.000,2.77953,
6314.000,2.77881,
6313.000,2.77359,
6312.000,2.76716,
6311.000,2.76268,
6310.000,2.75899,
6309.000,2.75319,
