,d2o 048 By Administrator Date Tuesday. December 14 2021,
Time,14:31:46,
Wavenumbers [1/cm],Transmittance %,
6359.000,11.1548,
6358.000,11.1453,
6357.000,11.1343,
6356.000,11.1221,
6355.000,11.1089,
6354.000,11.0946,
6353.000,11.0797,
6352.000,11.0638,
6351.000,11.046,
6350.000,11.0257,
6349.000,11.0046,
6348.000,10.9841,
6347.000,10.9623,
6346.000,10.9373,
6345.000,10.9102,
6344.000,10.8831,
6343.000,10.8545,
6342.000,10.8214,
6341.000,10.785,
6340.000,10.7504,
6339.000,10.7186,
6338.000,10.6854,
6337.000,10.649,
6336.000,10.6129,
6335.000,10.5787,
6334.000,10.5423,
6333.000,10.5,
6332.000,10.4545,
6331.000,10.4104,
6330.000,10.3677,
6329.000,10.324,
6328.000,10.2796,
6327.000,10.2369,
6326.000,10.1956,
6325.000,10.1532,
6324.000,10.1084,
6323.000,10.0616,
6322.000,10.0132,
6321.000,9.96324,
6320.000,9.91271,
6319.000,9.86232,
6318.000,9.81159,
6317.000,9.76064,
6316.000,9.71141,
6315.000,9.66552,
6314.000,9.62207,
6313.000,9.57931,
6312.000,9.53652,
6311.000,9.49256,
6310.000,9.44474,
6309.000,9.39193,
6308.000,9.33729,
6307.000,9.28523,
6306.000,9.23676,
6305.000,9.19001,
6304.000,9.14392,
6303.000,9.09869,
6302.000,9.05311,
6301.000,9.00474,
6300.000,8.95319,
6299.000,8.90095,
6298.000,8.85057,
6297.000,8.80249,
6296.000,8.75619,
6295.000,8.71147,
6294.000,8.66769,
6293.000,8.62304,
6292.000,8.57603,
6291.000,8.5272,
6290.000,8.47809,
6289.000,8.42894,
6288.000,8.37854,
6287.000,8.32699,
6286.000,8.27714,
6285.000,8.23181,
6284.000,8.19007,
6283.000,8.14814,
6282.000,8.10416,
6281.000,8.05969,
6280.000,8.01602,
6279.000,7.97126,
6278.000,7.92336,
6277.000,7.87389,
6276.000,7.82634,
6275.000,7.78166,
6274.000,7.7379,
6273.000,7.69366,
6272.000,7.64949,
6271.000,7.60588,
6270.000,7.56267,
6269.000,7.52035,
6268.000,7.47982,
6267.000,7.44016,
6266.000,7.39895,
6265.000,7.35509,
6264.000,7.30975,
6263.000,7.26426,
6262.000,7.21877,
6261.000,7.1736,
6260.000,7.12995,
6259.000,7.08846,
6258.000,7.04806,
6257.000,7.00728,
6256.000,6.9658,
6255.000,6.92441,
6254.000,6.88437,
6253.000,6.84658,
6252.000,6.81048,
6251.000,6.77385,
6250.000,6.73478,
6249.000,6.69389,
6248.000,6.65328,
6247.000,6.61384,
6246.000,6.57472,
6245.000,6.53525,
6244.000,6.49567,
6243.000,6.45603,
6242.000,6.41598,
6241.000,6.37597,
6240.000,6.33711,
6239.000,6.29964,
6238.000,6.26282,
6237.000,6.22613,
6236.000,6.18949,
6235.000,6.15194,
6234.000,6.11204,
6233.000,6.0701,
6232.000,6.02882,
6231.000,5.99084,
6230.000,5.95661,
6229.000,5.92482,
6228.000,5.89414,
6227.000,5.86357,
6226.000,5.83182,
6225.000,5.79751,
6224.000,5.7604,
6223.000,5.72244,
6222.000,5.68681,
6221.000,5.65505,
6220.000,5.62515,
6219.000,5.5936,
6218.000,5.5594,
6217.000,5.52461,
6216.000,5.49083,
6215.000,5.45707,
6214.000,5.42229,
6213.000,5.38764,
6212.000,5.35463,
6211.000,5.32238,
6210.000,5.28929,
6209.000,5.25614,
6208.000,5.22551,
6207.000,5.19827,
6206.000,5.17243,
6205.000,5.14488,
6204.000,5.11292,
6203.000,5.07526,
6202.000,5.0337,
6201.000,4.99312,
6200.000,4.95757,
6199.000,4.92655,
6198.000,4.89684,
6197.000,4.86701,
6196.000,4.83789,
6195.000,4.80954,
6194.000,4.78086,
6193.000,4.75234,
6192.000,4.72622,
6191.000,4.70293,
6190.000,4.67958,
6189.000,4.65296,
6188.000,4.62242,
6187.000,4.58901,
6186.000,4.5539,
6185.000,4.51892,
6184.000,4.48672,
6183.000,4.45871,
6182.000,4.4333,
6181.000,4.40729,
6180.000,4.3788,
6179.000,4.34837,
6178.000,4.3178,
6177.000,4.2888,
6176.000,4.262,
6175.000,4.23659,
6174.000,4.21061,
6173.000,4.18216,
6172.000,4.15058,
6171.000,4.11685,
6170.000,4.08307,
6169.000,4.05159,
6168.000,4.02404,
6167.000,4.00101,
6166.000,3.98184,
6165.000,3.96431,
6164.000,3.94506,
6163.000,3.92184,
6162.000,3.89575,
6161.000,3.86997,
6160.000,3.8461,
6159.000,3.82307,
6158.000,3.80017,
6157.000,3.77875,
6156.000,3.75933,
6155.000,3.73905,
6154.000,3.71443,
6153.000,3.68589,
6152.000,3.65726,
6151.000,3.63126,
6150.000,3.60771,
6149.000,3.58599,
6148.000,3.56645,
6147.000,3.5486,
6146.000,3.53002,
6145.000,3.50851,
6144.000,3.48471,
6143.000,3.46149,
6142.000,3.44116,
6141.000,3.42389,
6140.000,3.40804,
6139.000,3.39156,
6138.000,3.37303,
6137.000,3.35208,
6136.000,3.32934,
6135.000,3.30626,
6134.000,3.285,
6133.000,3.26737,
6132.000,3.25354,
6131.000,3.24203,
6130.000,3.2313,
6129.000,3.22064,
6128.000,3.20947,
6127.000,3.19664,
6126.000,3.1815,
6125.000,3.16494,
6124.000,3.14828,
6123.000,3.13163,
6122.000,3.11423,
6121.000,3.0961,
6120.000,3.0785,
